"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"OTU1376.NN.Acinetobacter_septicus_EF611418.D.96",2,1,7,8,0,0,0,0,2,2,0,3,0,11,17,1,14,6,0,1,1,2,0,7,0,0,0,0,0,7,0,0,0,1,0,8,0,0,1
"OTU1387.NN.Alistipes_timonensis_JF824799.D.96_6",559,1,3,287,507,1961,10,8,411,97,17,4,110,184,234,2,1845,325,1680,2141,3,1,95,0,0,1,20,2,0,7,9,2,2395,14,24,1001,274,149,471
"OTU1424.NN.Dorea_formicigenerans_EUBRRDP.D.96_7",27,4,147,2,3,145,3,16,11,13,12,9,110,19,30,2,2,31,10,12,22,0,6,0,1200,0,5,16,1,9,40,0,0,0,16,3,4,139,14
"OTU1482.NN.Veillonella_atypica_X84007.D.96_9",10260,718,705,1816,2375,15230,1935,994,408,86,179,5,138,2,104,3,2018,2549,74,32,1550,22700,135,14,4599,5050,48630,3623,27060,848,217,72020,17,10920,6,46,352,8965,130
"OTU1491.NN.Eubacterium_sulci_AJ006963.D.90_3",0,0,0,0,3,3,2,0,9,7,26,9,2,221,9,2,0,250,0,7,0,0,7,0,0,1,7,0,0,0,15,0,0,21,258,0,0,0,33
"OTU152.NN.Oscillibacter_valericigenes_AB238598.D.94_3",10,2,18,476,1173,1,288,694,2402,1661,2146,864,9308,3539,433,39,582,397,1790,1062,8216,1,175,0,1,1,264,1,1,655,68,12,89,1,74,30,292,48,280
"OTU1524.NN.Anaerofilum_pentosovorans_X97852.D.90_6",6,4,0,12,0,0,0,0,0,21,5,0,3,99,0,10,3,182,2,7,0,0,0,0,0,0,0,0,0,0,22,0,27,0,0,0,0,0,22
"OTU1527.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.93_9",10,0,0,61,2,1,0,130,0,9,48,19,19,151,14,85,60,18,80,146,1,0,0,0,0,0,24,57,0,24,90,2,79,0,21,67,1,122,45
"OTU1536.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_6",82,0,0,9,0,0,3,21,43,3,107,1,603,130,1240,4,121,317,207,24,0,0,0,0,0,87,22,0,0,0,20,0,2,0,221,13,0,0,0
"OTU1551.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.91_1",0,0,0,0,0,0,0,0,0,2,30,6,0,0,0,71,69,17,3,32,0,0,0,0,0,0,0,0,0,0,13,0,0,0,45,131,0,0,14
"OTU156.NN.Oscillibacter_valericigenes_AB238598.D.95_3",1,8,7,402,236,2033,53,217,705,403,867,52,481,138,1184,15,67,41,162,53,433,1,0,0,0,0,141,1999,574,489,0,0,0,0,0,161,12,0,0
"OTU1560.NN.Oscillibacter_valericigenes_AB238598.D.90_2",0,1,0,1,0,0,0,8,1,0,11,0,19,0,0,0,2,32,1,0,0,0,9,0,0,0,0,0,0,1,2,0,0,0,7,18,0,5,9
"OTU1592.NN.Christensenella_minuta_AB490809.D.88_2",0,0,0,0,0,0,0,1,0,30,16,3,1,69,0,32,29,20,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0
"OTU160.NN.Intestinimonas_butyriciproducens_JX101685_1.D.91_4",0,3,11,89,0,925,24,880,4073,226,56,0,53,0,1170,0,115,162,0,163,16,0,193,0,0,0,0,0,0,897,14,6,0,0,0,191,33,0,545
"OTU1616.NN.Fusicatenibacter_saccharivorans_AB698912.D.90_2",36,21,6,37,33,82,17,14,11,66,17,27,634,39,71,11,45,38,65,136,23,0,45,60,663,19,5,4,3533,29,34,0,4,29,149,12,2,610,5
"OTU1632.NN.Ruminococcus_bromii_DQ882649.D.86_7",0,0,0,0,6,0,0,0,0,33,6,24,2,0,0,75,63,10,6,10,0,0,0,0,0,0,0,0,0,0,9,0,7,0,1,6,1,0,0
"OTU1678.NN.Veillonella_dispar_GQ422726.D.94_9",96,0,94,0,0,26,4,0,38,0,0,7,0,0,0,2,0,270,0,0,162,1,0,0,0,0,0,109,1050,0,9,0,0,0,0,0,0,0,0
"OTU1688.NN.Gemmiger_formicilis_GU562446.D.92_5",90,85,24,27,53,6,0,1,35,34,8,33,2,429,125,36,122,132,94,27,4,0,1,0,0,57,18,0,0,9,89,0,114,165,115,11,21,118,67
"OTU1689.NN.Soleaferrea_massiliensis_JX101688.D.88_9",2,0,2,0,0,0,0,2,9,28,42,49,0,63,0,46,7,0,2,6,0,0,0,0,0,2,0,0,0,1,0,0,48,0,61,128,10,0,41
"OTU169.NN.Faecalibacterium_prausnitzii_X85022.D.96_7",229,3,12,823,502,27,51,178,5,71,1524,9,1791,19,3580,1,199,0,1,49,506,1,4,0,0,59,375,2,1,644,2,0,1,5,1,93,16,0,0
"OTU1731.NN.Roseburia_intestinalis_AB661435.D.97",168,31,32,345,375,8220,330,678,311,731,2822,75,224,221,1725,449,163,2093,1065,1500,309,2,20,1,457,60,1508,453,5269,1283,1853,22,4,281,196,1181,17,1558,251
"OTU174.NN.Anoxystipes_fissicatena_NR_104800_1.D.92_4",6,1,0,47,13,1013,2,11,51,6,186,3,41,13,16,9,10,116,28,22,128,0,0,0,0,0,24,31,1,2,7,0,0,0,6,3,0,128,0
"OTU175.NN.Roseburia_hominis_AB661434.D.94_3",0,0,1,4,0,1,0,3,104,25,36,0,7,0,1,1,0,2,0,1,2,0,2,0,0,0,0,352,0,0,0,0,1,1,0,305,0,0,1
"OTU176.NN.Butyrivibrio_crossotus_FR733670.D.87_8",0,0,0,6,2,1,0,1,8,0,9,0,3,0,4,0,0,0,23,0,8,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
"OTU178.NN.Oscillibacter_valericigenes_AB238598.D.92_5",274,10,29,0,1149,5,968,0,1148,893,1868,347,812,41,1029,1,87,1319,147,236,642,0,0,0,1,1,1,0,11,2764,0,4,0,0,0,16,157,0,0
"OTU18.NN.Ruminococcus_bromii_DQ882649.D.88_1",0,0,0,0,4,0,1,11,5,33,6,6,17,5,15,129,159,129,6,150,0,0,5,0,0,0,5,0,0,0,31,0,56,0,6,11,3,0,0
"OTU19.NN.Phenylobacterium_haematophilum_AJ244650.D.97",2,11,13,14,2,11,0,1,1,2,0,0,0,3,0,0,7,0,14,0,1,0,0,0,0,0,3,7,0,3,3,3,7,27,1,6,0,8,0
"OTU197.NN.Ruminococcus_albus_AY445596.D.93_7",0,0,2,0,0,3,8,1,16,139,11,9,7,3,248,334,219,0,128,110,13,2,0,1,17,2,0,0,1,17,0,3,0,126,0,583,0,0,0
"OTU206.NN.Oscillibacter_valericigenes_AB238598.D.95_4",11,11,1,147,37,123,1,105,35,51,265,50,13,580,351,160,14,426,38,400,0,0,5,16,0,0,5,0,0,32,135,1,369,31,326,19,1,58,66
"OTU214.NN.Eubacterium_biforme_JF298897.D.96_8",0,0,11,29,0,0,0,0,0,160,1,2,3,49,2,0,0,0,0,38,111,0,0,0,0,0,346,18,1,72,0,0,0,0,0,0,1,9,0
"OTU227.NN.Prevotella_shahii_AB108825.D.89_3",1,15,52,2643,0,3,0,0,2,0,0,0,1,2751,0,0,0,0,0,6,1883,0,333,0,0,0,0,133,18,3837,0,0,0,0,0,0,0,0,0
"OTU234.NN.Prevotella_conceptionensis_HM587326.D.87_4",40,0,7,1,0,0,0,0,3,0,0,0,0,0,0,38,35,10,0,4,5,10,5,13,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0
"OTU24.NN.Massilia_aurea_AM231588.D.96_2",62,26,3,0,2,15,0,0,44,15,13,7,15,55,102,4,40,16,10,5,22,5,25,19,1,0,9,7,0,11,6,6,1,6,3,18,4,21,19
"OTU252.NN.Rothia_aeria_AB753461.D.96_6",5,0,29,1,5,7,0,1,0,0,4,2,3,0,2,0,10,19,0,2,2,0,0,0,43,0,4,1,59,0,0,9,0,11,0,1,2,12,2
"OTU253.NN.Geobacillus_stearothermophilus_EF025325.D.75_9",15,0,109,2,4,13,0,14,4,0,2,0,4,6,3,0,0,2,0,0,1,2,33,0,13,0,10,10,1,0,4,0,0,17,0,36,0,89,0
"OTU255.NN.Anoxystipes_fissicatena_NR_104800_1.D.94_9",0,1,0,2,0,50,1,0,1,13,60,23,175,0,0,2,8,0,0,194,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0
"OTU260.NN.Clostridium_clostridioforme_AY169422.D.94_1",11,6,0,4,1,2,0,0,4,5,21,3,43,2,19,0,1,5,24,25,12,0,5,0,0,0,4,193,1094,0,2,0,0,0,21,1,0,9,16
"OTU286.NN.Ruminococcus_bromii_DQ882649.D.96_6",0,0,0,0,0,0,0,0,13,84,1,0,7,16,13,15,55,1,8,29,0,0,0,0,3,0,0,0,0,59,0,0,0,0,176,1,2,0,26
"OTU293.NN.Clostridium_glycyrrhizinilyticum_AB233029.D.91_2",0,0,0,0,0,191,1,0,0,1,123,0,3,2,0,0,0,0,0,24,1,0,0,0,0,0,10,6,194,3,0,0,0,37,0,14,0,0,0
"OTU311.NN.Prevotella_copri_AB064923.D.90_1",0,2,17,1,0,0,0,0,0,0,0,4,1,0,0,0,0,4,0,2,1317,0,43,0,0,0,0,1298,5,1309,0,0,0,3,0,0,0,0,0
"OTU342.NN.Clostridium_clariflavum_NR_102987_1.D.77_3",0,1,0,66,47,0,3,124,28,9,36,26,258,47,0,1,89,7,28,2,12,0,0,0,0,0,0,4,0,88,0,0,0,0,0,88,6,0,0
"OTU355.NN.Clostridium_lactatifermentans_AY033434.D.90_6",81,1,0,0,0,31,0,0,0,0,0,12,0,0,0,33,0,39,2,0,0,0,0,0,0,0,0,0,0,0,23,0,136,0,67,64,0,0,8
"OTU363.NN.Anaerofilum_pentosovorans_X97852.D.92_9",0,0,0,2,1,0,1,0,3,5,3,0,4,18,0,0,1,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,9
"OTU371.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_5",56,0,4,12,8,2175,0,42,6,0,0,26,44,0,62,0,3,0,52,0,12,0,0,0,0,0,17,366,210,110,1,1,0,0,0,7,13,0,0
"OTU379.NN.Dialister_succinatiphilus_AB370249.D.96_3",0,2,0,0,0,1,0,0,0,0,0,598,1612,7109,35,38,4,0,0,3,20450,2,0,0,0,0,0,0,24,1,0,0,0,0,0,3,0,1,0
"OTU383.NN.Clostridium_populeti_X71853.D.91_5",1,0,4,0,0,0,1,0,140,39,561,26,78,32,0,2,16,30,1846,3,0,0,0,0,0,0,0,6,0,33,960,0,1,0,0,16,1,0,2
"OTU392.NN.Aggregatibacter_aphrophilus_EF605278.D.95_1",2,64,1,341,0,223,3,2,0,0,29,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,5,4,0,0,0,0,0,16,0,0,0,0,0
"OTU395.NN.Clostridium_bolteae_AJ508452.D.93_5",13,2,5,6,1,14,7,9,1,16,16,16,173,0,173,4,17,0,41,25,5,0,1,0,23,0,8,1,1,90,0,0,0,0,277,7,0,0,1
"OTU405.NN.Barnesiella_intestinihominis_AB370251.D.89_9",0,0,0,0,24,2,0,40,186,0,0,0,18,241,0,0,0,84,0,0,8,0,0,7,0,0,13,0,0,0,0,0,0,0,0,29,1,0,1
"OTU426.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_3",22,889,242,15,0,27,0,17,2,0,47,0,12,0,15,68,7,33,15,53,1,0,1,10,114,10,12,0,0,8,8,0,10,21,1,12,1,15,0
"OTU434.NN.Clostridium_lactatifermentans_AY033434.D.95_2",0,0,0,112,46,0,0,0,0,0,153,5,26,1,19,0,0,51,0,81,276,0,0,0,0,0,0,171,0,0,0,0,0,0,59,4,0,0,0
"OTU468.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_9",0,0,0,0,0,0,0,0,6,13,0,5,0,12,0,14,15,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,9,0,0,0,0,12
"OTU471.NN.Clostridium_lituseburense_CLORR16SC.D.96_6",20,9290,3,385,1,15,6,4999,4,382,2848,719,229,19,6461,27,1239,295,3216,15,113,0,23,21280,1,25,2,2,2,8,54,5,1,0,8,388,0,18,698
"OTU482.NN.Eubacterium_sulci_AJ006963.D.89_4",0,0,0,8,14,1,4,15,110,0,8,1,30,98,5,0,0,28,39,0,57,0,2,0,0,0,0,0,0,24,0,0,0,0,0,1,2,0,0
"OTU483.NN.Lactobacillus_rogosae_GU269544.D.95_9",0,16,0,7,19,127,0,21,18,37,12,0,6,17,6,0,10,48,0,55,0,0,11,1,1003,0,20,2,460,4,25,1,0,0,0,6,0,0,0
"OTU500.NN.Oscillibacter_valericigenes_AB238598.D.90_6",0,11,39,1379,13,0,13,0,16,0,154,104,553,48,1,0,0,6,3,245,163,0,42,0,0,0,0,4,4,1932,0,0,0,0,0,63,79,0,0
"OTU506.NN.Christensenella_minuta_AB490809.D.83_8",0,0,2,190,0,1,18,50,7,416,1173,0,776,0,0,0,3,0,0,3,54,0,0,0,0,0,0,1,0,3,0,2,0,0,0,250,0,0,0
"OTU516.NN.Prevotella_copri_AB064923.D.96_6",32,146,359,11788,62762,101,13049,24895,67,0,2,3589,16193,4280,16,0,14066,10,30,3917,11508,21,24931,3,1,2,2,46244,111,18950,4,58,1,15,5,73352,3363,5,1
"OTU521.NN.Papillibacter_cinnamivorans_AF167711.D.89_6",0,0,0,19,7,0,0,1,1,1,5,0,12,10,14,17,4,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0
"OTU58.NN.OscillospiraFlavonifractor_plautii_Y18187.D.95_5",0,0,0,4,1,0,0,0,2,17,6,0,0,170,72,24,0,0,1,44,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,16
"OTU60.NN.Ruminococcus_bromii_DQ882649.D.89_6",1,0,0,5,0,0,0,18,23,55,9,3,1,0,23,8,1,0,0,15,0,0,0,8,0,0,0,0,0,0,0,0,0,0,41,11,2,0,27
"OTU622.NN.Clostridium_methylpentosum_Y18181.D.87_5",0,0,0,0,2,0,0,30,6,6,19,2,109,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,213,0,407
"OTU644.NN.Dorea_massiliensis_JX101687.D.88_1",111,208,22,152,163,4,16,518,810,104,434,155,1831,335,165,522,645,9,590,948,449,1,704,33,0,432,204,17,2,813,2,58,54,8,187,48,100,0,0
