"rownames.data."	"AIH"	"control"	"healthy"	"average"	"color"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"species"	"genus"	"family"	"order"	"class"	"phylum"
"OTU_1250"	"OTU_1250"	0.0623172557442941	0.0762880192136125	0.0542510032421995	0.064285426066702	"control"	0.0183495862561698	0.0652149930245446	2.09528514508953	0.0406289814228315	0.597831322963285	NA	NA	NA	NA	NA	NA
"OTU_1254"	"OTU_1254"	0.044062663644809	0.0567390910007685	0.0353208235967004	0.045374192747426	"control"	0.0174219976677899	0.0462258165460677	2.56198247420858	0.0130942653691634	0.444217603189232	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_1741"	"OTU_1741"	0.0473945648057326	0.0638143117792589	0.0421538019193108	0.0511208928347674	"control"	0.019264732540441	0.0521890421427859	2.60166466492462	0.0118173201975266	0.444217603189232	NA	NA	NA	NA	NA	NA
"OTU_1261"	"OTU_1261"	0.0497166615111451	0.0653558780783497	0.0400648590523906	0.0517124662139618	"control"	0.0208787664733857	0.0527566224478584	2.73589562603209	0.00829350290928972	0.444217603189232	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_1272"	"OTU_1272"	0.0910264458170899	0.129661642788953	0.0762651351770523	0.0989844079276985	"control"	0.046648479890741	0.101511698027299	3.35184837026019	0.00143507752951855	0.334926303087155	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_1268"	"OTU_1268"	0.0763895054727967	0.109549287193593	0.072222956117851	0.0860539162614136	"control"	0.0354216227991954	0.088174169987182	3.02116248994958	0.00377504198041857	0.373729156061438	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_1273"	"OTU_1273"	0.0424515968608323	0.0564776865025719	0.0353926609778243	0.0447739814470762	"control"	0.017858083406801	0.0457012568605368	2.4581621226546	0.0170484012013838	0.450077791716532	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_7614"	"OTU_7614"	0.0174784011289994	0.0218694072370128	0.0132322715333828	0.0175266932997983	"control"	0.00669604788849101	0.0178286886836131	2.13606250994306	0.0370102816552816	0.597831322963285	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_3908"	"OTU_3908"	0.00887124099503571	0.0125597214604972	0.00582553773390153	0.00908550006314481	"control"	0.00534186223579147	0.00933618390441614	2.34078413387272	0.0227889204497956	0.501356249895503	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_1313"	"OTU_1313"	0.0441209065622208	0.0618234968789937	0.0429378289078851	0.0496274107830332	"control"	0.0183448324719838	0.0507533393527966	2.46468313121445	0.0167714591396967	0.450077791716532	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_1753"	"OTU_1753"	0.011859575208477	0.0188549594975263	0.0108931791724982	0.0138692379595005	"control"	0.00751999928000923	0.0143170288975207	2.53795556044708	0.0139270798283244	0.444217603189232	NA	NA	NA	NA	NA	NA
"OTU_5772"	"OTU_5772"	0.0253765712258287	0.0351568883372919	0.0246202881516032	0.0283845825715746	"control"	0.0101908707803285	0.0290072249353696	2.42524045471602	0.0185104267258585	0.458133061464999	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_7318"	"OTU_7318"	0.011785048917644	0.0182499026680222	0.0105722095505937	0.0135357203787533	"control"	0.00712325226391984	0.0139513883708292	2.51993478612752	0.014582901114798	0.444217603189232	NA	NA	NA	NA	NA	NA
"OTU_5107"	"OTU_5107"	0.00286158844413989	0.00616498175705857	0.00250264987897	0.00384307336005615	"control"	0.00349824567686805	0.00405397143481061	2.09477539764036	0.0406761016230882	0.597831322963285	NA	NA	NA	NA	NA	NA
