"","AIH","healthy","nonAIHhepControl"
"OTU1632.NN.Ruminococcus_bromii_DQ882649.D.86_7",146,129,113
"OTU1683.NN.Ruminococcus_bromii_DQ882649.D.90",22,155,89
"OTU1688.NN.Gemmiger_formicilis_GU562446.D.92_5",988,2153,1164
"OTU1689.NN.Soleaferrea_massiliensis_JX101688.D.88_9",243,870,306
"OTU169.NN.Faecalibacterium_prausnitzii_X85022.D.96_7",8825,11919,1959
"OTU1701.NN.Papillibacter_cinnamivorans_AF167711.D.89_7",156,198,88
"OTU1709.NN.Desulfitobacterium_frappieri_DFU40078.D.85_6",177,224,34
"OTU1731.NN.Roseburia_intestinalis_AB661435.D.97",16737,46013,19546
"OTU174.NN.Anoxystipes_fissicatena_NR_104800_1.D.92_4",1418,507,506
"OTU175.NN.Roseburia_hominis_AB661434.D.94_3",183,1051,667
"OTU178.NN.Oscillibacter_valericigenes_AB238598.D.92_5",8574,11718,5386
"OTU18.NN.Ruminococcus_bromii_DQ882649.D.88_1",232,499,561
"OTU19.NN.Phenylobacterium_haematophilum_AJ244650.D.97",60,100,90
"OTU197.NN.Ruminococcus_albus_AY445596.D.93_7",781,13798,1222
"OTU206.NN.Oscillibacter_valericigenes_AB238598.D.95_4",2126,3053,2217
"OTU214.NN.Eubacterium_biforme_JF298897.D.96_8",257,208,596
"OTU234.NN.Prevotella_conceptionensis_HM587326.D.87_4",89,95,89
"OTU24.NN.Massilia_aurea_AM231588.D.96_2",363,536,254
"OTU252.NN.Rothia_aeria_AB753461.D.96_6",59,73,177
"OTU253.NN.Geobacillus_stearothermophilus_EF025325.D.75_9",176,250,218
"OTU255.NN.Anoxystipes_fissicatena_NR_104800_1.D.94_9",328,322,226
"OTU260.NN.Clostridium_clostridioforme_AY169422.D.94_1",121,826,1412
"OTU286.NN.Ruminococcus_bromii_DQ882649.D.96_6",149,417,360
"OTU293.NN.Clostridium_glycyrrhizinilyticum_AB233029.D.91_2",321,1485,289
"OTU303.NN.Eggerthella_lenta_AF292375.D.87_9",54,183,25
"OTU342.NN.Clostridium_clariflavum_NR_102987_1.D.77_3",646,2649,324
"OTU355.NN.Clostridium_lactatifermentans_AY033434.D.90_6",158,520,339
"OTU363.NN.Anaerofilum_pentosovorans_X97852.D.92_9",37,116,33
"OTU371.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_5",2435,356,792
"OTU379.NN.Dialister_succinatiphilus_AB370249.D.96_3",9395,5183,20488
"OTU383.NN.Clostridium_populeti_X71853.D.91_5",884,2473,2914
"OTU395.NN.Clostridium_bolteae_AJ508452.D.93_5",456,1036,497
"OTU405.NN.Barnesiella_intestinihominis_AB370251.D.89_9",511,287,143
"OTU426.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_3",1356,585,332
"OTU434.NN.Clostridium_lactatifermentans_AY033434.D.95_2",362,412,642
"OTU468.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_9",50,300,44
"OTU471.NN.Clostridium_lituseburense_CLORR16SC.D.96_6",25408,45930,27393
"OTU482.NN.Eubacterium_sulci_AJ006963.D.89_4",294,239,153
"OTU483.NN.Lactobacillus_rogosae_GU269544.D.95_9",286,549,1646
"OTU500.NN.Oscillibacter_valericigenes_AB238598.D.90_6",2331,3058,2541
"OTU506.NN.Christensenella_minuta_AB490809.D.83_8",2633,14661,316
"OTU516.NN.Prevotella_copri_AB064923.D.96_6",136819,13339,196429
"OTU521.NN.Papillibacter_cinnamivorans_AF167711.D.89_6",87,186,54
"OTU555.NN.Christensenella_minuta_AB490809.D.88_7",65,539,30
"OTU58.NN.OscillospiraFlavonifractor_plautii_Y18187.D.95_5",296,108,77
"OTU60.NN.Ruminococcus_bromii_DQ882649.D.89_6",146,629,105
"OTU622.NN.Clostridium_methylpentosum_Y18181.D.87_5",174,257,685
"OTU644.NN.Dorea_massiliensis_JX101687.D.88_1",5550,6000,5304
"OTU657.NN.Soleaferrea_massiliensis_JX101688.D.88_5",876,1467,1307
"OTU661.NN.Blautia_wexlerae_EF036467.D.94_9",868,4423,867
"OTU673.NN.Ruminococcus_callidus_X85100.D.93_8",4219,2056,7778
"OTU694.NN.Clostridium_clariflavum_NR_102987_1.D.85_2",542,1596,557
"OTU699.NN.Clostridium_methylpentosum_Y18181.D.88_8",252,415,216
"OTU700.NN.Oscillibacter_valericigenes_AB238598.D.90_8",257,313,136
"OTU761.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_2",1202,5349,953
"OTU767.NN.Anoxystipes_fissicatena_NR_104800_1.D.93_6",287,466,95
"OTU790.NN.Barnesiella_intestinihominis_AB370251.D.84_6",8019,50,16911
"OTU798.NN.Oscillibacter_valericigenes_AB238598.D.90_1",13961,10677,4850
"OTU80.NN.Eubacterium_desmolans_EUBRRDO.D.94_1",408,898,170
"OTU807.NN.Soleaferrea_massiliensis_JX101688.D.86_9",343,2158,4091
"OTU808.NN.Eubacterium_ramulus_EUBRRDT.D.95_9",777,663,102
"OTU810.NN.Soleaferrea_massiliensis_JX101688.D.87_6",22,5714,3629
"OTU82.NN.Clostridium_lactatifermentans_AY033434.D.93_1",27,82,63
"OTU84.NN.Robinsoniella_peoriensis_AF445258.D.93_1",49,653,42
"OTU840.NN.Oscillibacter_valericigenes_AB238598.D.94_8",98,352,151
"OTU841.NN.Eubacterium_saphenum_GU427005.D.91_9",311,708,547
"OTU845.NN.Alistipes_onderdonkii_AB554231.D.96_7",48133,61133,82555
"OTU855.NN.Roseburia_faecis_AY804149.D.95_5",3860,2870,2151
"OTU857.NN.Eubacterium_sulci_AJ006963.D.90_2",107,362,42
"OTU867.NN.Christensenella_minuta_AB490809.D.91_9",117,378,358
"OTU869.NN.Papillibacter_cinnamivorans_AF167711.D.90_2",220,1223,76
"OTU877.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_8",153,346,288
"OTU902.NN.Prevotella_loescheii_AB547688.D.88_8",584,1520,102
"OTU916.NN.Eubacterium_siraeum_EUBRRDV.D.93_2",113,2923,853
"OTU93.NN.Ruminococcus_bromii_DQ882649.D.96_3",34018,43889,33538
"OTU957.NN.Anoxystipes_fissicatena_NR_104800_1.D.93_2",127,570,158
"OTU962.NN.Oscillibacter_valericigenes_AB238598.D.89_7",4110,2074,419
"OTU976.NN.Eubacterium_sulci_AJ006963.D.91_7",89,135,79
"OTU98.NN.Christensenella_minuta_AB490809.D.84_9",282,154,147
"OTU988.NN.Barnesiella_intestinihominis_AB370251.D.87_1",1893,5156,4484
"OTU995.NN.Gemmiger_formicilis_GU562446.D.92",65553,82214,79999
"OTU997.NN.Catabacter_hongkongensis_AB671763.D.82_9",32,61,29
"Parabacteroides_goldsteinii",305,2050,149
"Parabacteroides_merdae",5107,4097,4656
"Paraprevotella_clara",3800,2863,1705
"Parasutterella_excrementihominis",1605,19461,2325
"Pelomonas_saccharophila",260,528,300
"Phascolarctobacterium_faecium",24679,40186,51109
"Phascolarctobacterium_succinatutens",470,24,13337
"Phenylobacterium_haematophilum",259,371,233
"Ruminococcus_callidus",3562,5827,1078
"Ruminococcus_lactaris",954,918,1098
"Shigella_sonnei",1141,853,21445
"Streptococcus_anginosus",104,11,750
"Streptococcus_infantis",573,142,1362
"Sutterella_wadsworthensis",3019,1785,10265
"Turicibacter_sanguinis",18921,24109,4634
"Tyzzerella_lactatifermentans",398,83,122
"Veillonella_rogosae",70,113,1193
"NA",219653,359261,437672
