"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Odoribacter",442,598,34,143,196,669,10,795,358,358,590,56,477,465,46,642,555,156,705,911,395,6727,768,226,1901,248,78,87,749,1071,277,1,58,1,1965,717,714,456,567,19,0,455,0,0,0,304,63,0,79,1012,1,362,0,458,36,50,208,309
"Oscillibacter",324,51,96,11293,3315,2474,1368,1590,4584,3239,6560,1448,13420,10458,3044,621,9189,5423,3313,2257,1324,4048,1840,5920,3104,8030,1322,1315,4297,3165,682,276,6303,450,2011,862,2249,2192,2712,13593,2,237,16,3,2,450,2085,590,6042,225,22,535,32,459,876,1462,180,418
"Oscillospira",307,6,16,169,28,2222,9,255,50,118,417,61,163,352,185,298,269,111,43,188,178,244,52,199,281,351,143,137,398,65,92,365,343,398,123,114,241,152,521,95,0,90,21,2,120,55,466,210,151,126,8,160,165,102,197,82,701,99
"Parabacteroides",4,511,1,24,40,249,6,5,508,24,532,691,806,248,584,1319,370,329,215,244,713,0,263,350,48,833,54,369,103,717,562,13,648,1,598,442,23,85,84,0,0,5,0,0,53,407,299,0,5,0,386,8,68,933,13,44,679,1974
"Paraprevotella",0,4,0,255,187,2,21,0,3,772,1512,257,0,360,0,427,0,0,3,2835,6,0,8,1,4,0,0,0,5,1,0,0,0,0,0,264,2,0,0,57,2,0,0,0,0,0,15,3,4,0,0,0,0,488,2,194,0,674
"Parasutterella",0,0,1,49,14,42,1,5,1,130,0,6,51,0,1294,11,16,0,14,7,7536,564,0,71,10110,2,3,774,71,86,0,42,86,1,78,0,68,361,1,0,0,0,0,0,0,13,2,22,10,0,0,0,1,0,2,16,0,1829
"Pelomonas",6,42,46,16,13,42,0,16,8,11,0,4,2,30,18,6,0,2,10,19,13,37,4,52,7,1,8,258,12,8,11,6,77,1,2,16,10,47,5,8,0,7,3,1,4,11,19,1,13,12,15,10,50,23,25,2,16,2
"Phascolarctobacterium",9,11,16,870,1248,7,32,329,12601,1,0,37,6,477,9504,1,50,979,14,6751,9,4,16743,14,4,3129,0,12460,44,4,0,3,0,0,2,1,7065,36323,1,18,1,29,1,0,0,2772,10177,0,394,1,19,2,1,0,31,1186,6424,0
"Phenylobacterium",20,37,50,23,8,42,1,3,17,5,1,7,2,39,57,7,0,4,16,37,10,33,4,45,6,0,35,179,9,5,9,16,59,3,1,32,2,39,8,4,5,7,7,1,4,8,18,0,21,4,7,12,57,19,25,0,36,7
"Prevotella",72,194,489,12001,62602,102,13166,24897,123,61,36,3816,16622,4518,202,68,42,68,108,246,339,1,48,677,88,11,13232,52,151,97,72,46,6,14,12,14339,20,30,3934,11683,34,34490,16,1,2,3,46325,144,27684,4,59,1,22,7,73343,3445,82,12
"Pseudomonas",14,2,18,1,1,5,0,0,28,16,3,0,5,12,34,6,2,5,15,19,14,0,4,126,5,0,10,3,2,17,9,16,9,0,1,22,7,1,2,5,4,8,12,0,0,0,2,0,3,3,2,0,11,5,14,7,16,0
"Roseburia",627,582,32,3784,388,9240,336,742,715,754,3224,101,494,264,1818,591,2162,2442,163,4174,945,1618,5237,3218,834,356,863,18971,972,1962,3121,1,2871,1082,1440,231,2123,1781,2530,420,3,53,1,485,61,1541,482,5279,1343,2076,25,23,703,204,1190,23,1575,1085
"Rothia",5,0,29,1,5,7,0,1,0,0,4,2,3,0,2,0,11,0,0,1,0,0,2,0,1,1,1,7,0,0,0,0,5,38,6,10,19,0,2,2,0,0,0,43,0,4,1,59,0,0,9,0,11,0,1,2,12,2
"Ruminococcus",44,48,152,156,16,33,124,217,1785,3667,667,61,1514,4296,30315,2346,1704,1044,1063,6111,4344,916,1713,13635,858,8966,2716,1104,6025,3456,1377,2035,7331,6085,5699,3991,280,3817,7580,256,4,29,13,102,3,10,10,321,7366,209,14,68,156,7501,6907,6447,5,1936
"Shigella",136,555,2,9,9,64,0,3,156,8,6,35,38,98,0,22,7,18,24,5,34,0,7,10,4,0,3,0,11,81,0,523,23,0,103,9,903,8,0,161,1690,1,172,0,24,295,7843,3366,11,3,3612,567,51,2351,2,305,39,32
"Sphingomonas",351,638,781,201,72,475,6,107,535,106,80,68,58,1184,1362,177,32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,496,178,436,207,90,79,188,221,7,14,75,200,7,325,144,147,132,422,194,317,35,569,183
"Staphylococcus",1,6,6,0,0,13,0,0,7,7,0,1,0,6,0,0,2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,28,0,0,0,0,2,0,0,12,2,2,5,1,0,1,2,0,0,0,0,2,2,0
"Streptococcus",551,224,243,87,372,83,61,24,48,11,43,177,76,1650,82,36,393,12,31,57,53,35,58,93,69,17,34,957,59,16,10,11,71,50,56,561,591,69,93,180,112,11,27,8788,11,317,918,16868,19,34,883,3,583,3,11,7,773,6
"Sutterella",2,150,156,150,877,1402,3,168,41,0,0,3,27,12,0,28,451,0,37,35,0,0,0,83,0,9,30,0,247,0,473,420,0,0,0,0,2942,1,72,223,0,2,0,0,0,1378,2,4121,0,0,2,0,5,0,0,0,1517,0
"Terrisporobacter",3,460,30,1876,9,372,1,0,4,335,215,10,1407,0,182,16,51,0,2641,57,982,552,9,219,3,94,43,0,101,2916,0,4,937,32,137,2,0,1,3,6,1,9,0,0,2,1,7,10,1871,720,2,12,0,0,88,0,0,42
"Turicibacter",10,6703,2,1901,4,119,1,4445,2,1326,1865,2215,26,23,271,8,26,215,1224,2017,8538,597,137,331,15,222,331,3,2651,1216,56,2576,3460,463,31,429,0,273,6,0,1,489,1,0,0,0,6,3,65,2179,2,0,201,2,118,0,0,859
"Tyzzerella",411,1,0,112,58,48,1,10,43,9,156,21,30,10,19,41,14,21,7,102,34,1,6,423,139,194,95,37,21,5,4,0,10,13,7,11,93,14,103,290,0,10,6,60,0,15,178,0,9,34,0,190,59,133,74,0,513,16
"unclassified",30733,11251,295,9756,2153,10567,257,8244,7453,9791,8963,5047,8257,4860,12482,5061,24542,9088,3591,16478,9347,3990,7680,16961,12193,12661,24904,8116,9835,5835,6810,2009,9328,21292,14131,4559,23687,7079,26628,4439,10,7271,21950,13093,681,3246,4388,4153,8745,7143,208,581,1206,14638,4019,26486,18000,9897
"Veillonella",10299,723,705,1822,2378,15240,1936,996,408,87,180,5,139,2,105,3,79,16,7,5,16,10,36,62,374,8,144,15,75,23,66,3,18481,1141,1000,2029,2563,74,32,1557,22702,135,14,4701,5192,48898,3632,27359,848,219,72270,17,10948,6,46,354,9022,130
"NA",972,1374,447,510,1009,1244,81,2585,628,2491,598,505,2707,2470,2313,7692,6840,1121,765,1425,671,1799,2148,1366,1317,6072,551,1383,760,11004,642,234,728,1417,1323,6881,663,372,414,2162,130,243,70,5841,142,439,226,241,524,471,68,230,482,658,1955,1169,509,856
