Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	273	8	47	165	31	339	23	76	320	306	2197	77	1387	1514	1437	355	3137	461	314	1721	290	633	1305	448	626	1650	403	1536	961	395	190	2	878	568	729	458	1276	845	627	199	0	32	2	291	94	68	254	184	110	438	4	19	772	573	281	474	1782	1015
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	715	319	80	142	48	169	12	56	47	121	3823	122	346	46	152	41	3755	505	243	463	340	29	310	880	221	5109	213	607	380	98	228	84	70	1498	552	50	93	78	73	485	4	95	54	5741	6	20	117	296	28	23	2	19	253	319	49	1	174	30
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anoxystipes	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	174	5623	16703	162	99	267	50	42	47	80	68	163	639	225	149	139	1348	112	132	343	125	22	219	188	116	851	151	765	158	49	663	38	142	2714	252	88	151	13	66	18	4	35	15	964	11	31	16	544	24	176	7	102	95	5094	51	41	2623	46
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	0	0	0	0	0	0	0	0	0	0	453	0	15020	0	0	0	0	1	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus	11	10	18	18	0	197	13	314	173	101	743	45	601	133	82	35	548	1199	295	35	24	91	29	314	402	973	76	597	150	136	50	80	624	370	649	38	74	1866	38	95	2	4	0	0	0	68	13	195	1611	968	9	362	44	180	117	3	76	48
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	50	788	156	53	19	209	4	28	33	28	65	20	556	39	41	58	596	104	24	90	23	28	72	81	61	258	36	51	168	26	35	171	72	832	3928	13	49	49	55	39	1	23	0	1200	4	43	27	4	10	51	0	0	0	60	17	6	188	22
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Fusicatenibacter	209	20	2	21	11	71	11	20	16	82	70	27	91	10	44	42	1093	24	100	160	132	27	290	10	0	314	32	132	86	33	18	0	30	1038	2379	7	44	55	100	0	0	3	1	207	9	4	0	1395	56	22	0	10	2	21	6	1	424	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium	120	441	249	46	24	275	10	12	67	60	316	25	418	58	249	14	384	105	115	164	73	59	121	276	193	373	209	138	71	463	94	139	107	1399	1104	42	106	106	162	74	0	13	69	443	13	22	1826	1988	135	15	0	303	141	379	24	5	255	63
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	10	14	0	1	0	0	2	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	7	1	0	1	0	0	0	16	0	1	4	0	0	0	0	0	4	0	0	0	2	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	627	582	32	3784	388	9240	336	742	725	764	3230	101	496	264	1818	592	2318	2442	163	4174	945	1635	5238	3315	834	395	865	18971	972	1987	3121	1	2871	1084	1440	231	2124	1781	2530	420	3	53	1	485	61	1541	482	5279	1343	2105	25	23	703	204	1190	25	1575	1092
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus	39	4	0	93	0	5	3	0	1	27	457	0	15	0	11	299	114	80	24	37	18	33	8	0	49	30	11	158	43	3	0	0	234	0	76	12	41	34	56	5	0	10	0	0	0	1	1	290	10	8	0	5	0	622	1	2	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Tyzzerella	426	1	0	113	58	48	1	10	46	11	261	23	44	33	31	46	32	46	15	107	43	2	9	453	141	202	100	37	23	17	5	0	22	13	18	11	93	14	115	301	0	23	11	60	2	17	188	2	9	35	0	194	59	135	81	0	513	16
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|[Ruminococcus]	3	1	0	3	6	0	0	0	0	3	2	0	3	10	5	17	0	2	0	10	3	4	12	98	3	0	4	18	22	9	10	2026	8	22	0	3	15	5	11	0	0	0	0	0	0	1	0	0	10	12	0	0	0	1	7	0	0	13
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified-Lachnospiraceae	941	791	16	1481	82	1646	54	89	903	281	1695	101	2190	280	233	419	6484	949	363	361	310	144	1416	814	1707	2375	356	5537	1303	265	592	6	322	1194	2045	311	256	1125	837	230	2	130	68	5288	27	104	528	3656	191	5585	3	16	37	212	401	66	2511	931
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter	336	51	96	11293	3335	2474	1368	1606	4604	3254	6691	1466	13849	10458	3050	622	9262	5633	3388	2268	1352	4053	2218	6023	3129	8389	1342	1315	4316	3177	689	277	6303	451	2037	975	2249	2192	2715	15399	2	237	16	3	2	450	2127	590	6042	283	22	535	32	459	877	1509	198	418
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Peptococcus	0	0	0	0	0	0	0	0	0	310	10	5	8	0	0	1	11	8	0	0	3	0	0	5	13	5	3	0	0	1	0	0	0	0	0	0	17	278	0	3	0	0	0	0	0	15	4	0	3	0	0	0	0	11	1	3	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Clostridium	0	0	0	1	0	0	0	2	0	0	2	0	0	67	0	0	0	0	0	3	0	1	0	0	0	0	5	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Intestinibacter	3	1508	26	133	43	414	19	1376	1322	878	50	55	1490	1068	2274	129	194	59	1332	3790	2056	694	24	1181	15	59	22	122	219	3135	70	4	2025	5376	1599	372	213	1271	0	64	3	116	238	0	12	2	3	16	1053	18	7	2	2204	0	1013	5	983	1609
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Terrisporobacter	3	460	30	1876	9	372	1	0	4	335	215	10	1407	0	182	16	51	0	2641	57	982	552	9	219	3	94	43	0	101	2916	0	4	937	32	137	2	0	1	3	6	1	9	0	0	2	1	7	10	1871	720	2	12	0	0	88	0	0	42
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|unclassified-Peptostreptococcaceae	20	9290	3	385	1	15	6	4999	4	382	2848	719	229	19	6461	27	59	72	159	6733	1309	478	381	6036	83	109	21510	1339	1140	3494	2053	5	412	540	18	1239	295	3216	15	113	0	23	21280	1	25	2	2	2	8	54	5	1	0	8	388	0	18	698
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	48	0	2	42	811	16	3	2343	30	1926	201	347	1005	1727	45	39	297	478	456	66	115	38	96	294	119	486	113	143	105	10608	17	30	73	124	315	67	143	61	206	335	0	8	0	9	7	111	13	3	29	53	7	19	100	75	88	232	26	687
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerofilum	0	0	0	2	1	0	2	2	3	12	23	1	4	18	0	0	3	4	3	26	0	0	1	19	7	9	6	3	12	43	0	0	0	0	10	1	16	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	2	3	0	9
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	1	0	0	1	0	8	1	1	117	24	1	3	0	0	0	0	2	2	83	0	4	8	11	8	3	0	4	2	0	2	1	1	18	1	1	0	20	0	26	0	0	2	0	0	0	0	13	0	0	0	0	38	0	3	4	0	3	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Candidatus Soleaferrea	2	10	44	0	0	3	1	2	11	28	178	74	1	63	0	169	641	5	1	3	47	0	542	164	57	272	5	0	429	2	1	12	427	221	199	7	0	2	11	3	1	0	1	0	2	0	0	15	3977	0	1	48	0	61	128	61	0	79
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium	313	5	19	841	562	69	63	245	34	98	1580	32	1811	50	3600	34	348	159	296	143	956	1002	36	583	75	284	3334	44	1274	606	162	2	3409	1944	217	213	9	79	737	528	1	73	0	14	63	421	10	22	808	8	3	3	6	444	123	34	288	10
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Gemmiger	254	2	6	507	11	38	8	131	367	1094	164	65	55	211	2	0	619	177	1551	625	83	1377	976	465	386	797	350	0	6178	10410	0	1	673	14900	1250	2258	1407	46	4825	14	0	32	0	0	0	26	3	2	468	0	13	1	0	10720	270	19	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Intestinimonas	5	1	144	3	0	22	1	0	22	7	0	0	0	13	0	24	2	4	0	1	3	12	8	14	9	6	0	104	5	8	4	682	7	0	2	6	0	3	3	0	0	0	0	0	0	0	676	0	6	22	1	11	0	0	10	0	0	8
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillospira	307	6	16	169	28	2222	9	255	50	125	442	82	166	352	187	300	275	114	58	198	227	246	57	286	288	351	147	137	432	79	98	376	344	398	123	114	241	152	522	96	0	90	21	2	120	55	467	210	151	127	8	160	165	102	205	82	701	99
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Papillibacter	0	3	1	0	0	0	0	0	0	0	1	0	10	0	0	0	21	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus	2	43	152	649	10	39	125	219	2309	3645	286	66	1581	4297	30411	2030	4265	1021	1042	6078	4326	880	1707	13605	913	8984	3786	952	6062	3450	1367	9	7093	6097	5636	3976	537	3779	7563	260	4	53	20	102	3	11	225	31	7348	7872	19	63	156	6879	6929	6460	9	1932
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|unclassified-Ruminococcaceae	30117	135	69	7463	1697	8843	235	2763	6358	2037	5596	2844	4582	2566	5494	3652	11023	2797	3057	8224	8451	4109	2034	13813	3850	9594	2528	3845	6383	3682	2231	1344	6796	19209	11078	2240	1654	1628	24560	4515	4	5298	568	7539	196	2686	1438	482	2731	1392	117	532	558	14186	2572	3115	15369	3722
Bacteria|Firmicutes|Clostridia|Clostridiales|Unclassified_Clostridiales|Bacteroides	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Unclassified_Clostridiales|Howardella	0	0	0	0	0	0	1	0	0	0	0	0	1	13	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	3	0	0	0	0	0	0	30	0	1	0	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Anaerovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Mogibacteriaceae]|unclassified-Mogibacteriaceae	1	0	0	8	15	1	6	18	110	2	11	3	44	106	9	0	86	20	60	7	2	3	33	8	2	101	5	2	1	31	1	0	5	2	26	23	39	40	0	72	0	2	0	0	0	9	19	0	25	1	0	1	7	1	1	2	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Tissierellaceae]|Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified|unclassified-Clostridiales	114	210	28	625	247	24	78	998	1045	873	4101	217	3463	388	188	2976	9587	2078	1701	1910	645	263	2182	894	206	5982	2376	1973	1020	423	240	311	1529	397	1362	876	40	906	1512	1493	2	722	35	0	432	208	29	4	984	26	88	73	587	225	805	133	36	72
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|RFN20	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|p-75-a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Bulleidia	0	0	0	0	0	0	0	0	3	0	0	0	0	2	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Candidatus Stoquefichus	0	0	0	15	0	0	0	0	2	0	0	1	0	0	0	2	0	2	0	4	0	0	0	1	2	0	0	0	14	0	0	14	3	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	44	0	3	0	0	0	1
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Catenibacterium	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1539	0	34	0	0	0	0	107	0	1	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Dielma	30	0	0	0	1	0	0	0	0	3	0	0	0	3	20	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium	24	5962	838	5	0	4	0	4	0	6	1	5	0	7	1	2	1	9	10	16	7	2	1	25	7	0	0	2	15	5	3	122	6	81	0	6	10	42	1	1	0	0	0	25	9	2	0	4	1	3	18	35	1	6	1	0	329	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Eubacterium	0	0	11	29	0	0	0	0	0	160	3	2	25	49	2	1	24	8	189	0	0	0	6	0	4	1	2	2	11	16	1	0	2	5	7	0	0	0	38	111	0	3	0	0	0	346	18	1	72	0	0	5	0	34	0	1	41	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemania	56	0	0	1	0	0	0	2	0	0	0	0	4	0	0	1	0	0	0	7	8	0	0	6	7	7	1	11	4	3	2	78	0	2	0	0	8	2	1	0	0	2	0	0	0	0	0	0	0	5	0	3	0	2	0	1	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	3	6	0	0	0	1	0	0	1	0	0	1	0	13	2	0	0	0	1	1	8	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	22	0	1	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	10	6703	2	1901	4	119	1	4445	2	1326	1865	2215	26	23	271	8	26	215	1224	2017	8539	597	137	339	15	222	331	3	2651	1216	56	2576	3460	463	31	429	0	273	6	0	1	489	1	0	0	0	6	3	65	2179	2	0	201	2	118	0	0	859
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|unclassified-Erysipelotrichaceae	59	803	12	5	20	113	2	15	9	28	115	7	313	394	64	1956	680	267	553	447	37	17	48	168	135	4152	31	328	6	11	49	369	197	0	371	27	82	193	110	10	0	65	3	257	0	0	22	1	305	60	0	0	4	16	2	4	0	5
Bacteria|Firmicutes|Negativicutes|Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	10	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae|Acidaminococcus	0	0	1	0	0	278	0	0	0	0	0	0	3	668	0	6818	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	21	0	0	1	0	398	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae|Phascolarctobacterium	9	11	16	870	1248	7	32	329	12601	1	0	37	6	477	9504	1	50	979	14	6751	9	4	16746	14	4	3129	0	12461	49	4	0	3	0	0	2	1	7066	36323	1	81	1	29	1	0	0	2772	10177	0	394	1	19	2	1	0	31	3907	6424	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae	20	2	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	8	13	0	0	3	0	0	0	10	7	16	2	470	0	0	435	0	3	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Allisonella	0	406	3	0	0	0	0	0	0	0	0	0	14	40	226	116	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	111	0	0	3	0	215	0	12	2	0	0	0	0	1	0	0	130
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Dialister	1493	11	61	24902	54	21429	1535	13483	84	2007	1137	607	1644	7117	44	3311	2100	4	4726	30	1293	17610	42	10645	1693	0	15640	5	1248	4164	4745	24	4307	5283	5730	4015	8	68	14823	20490	1998	42010	747	56	540	37	148	733	35	16650	859	13	54	17351	6456	5	40	30331
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Megasphaera	91	10	30	4	2	51	7	6	9	0	1	1	3	5	0	1	0	2	0	0	0	3	1	2	2	0	0	0	0	0	0	0	176	0	0	0	18	1	0	186	1	39	0	86	3	77	27	5113	36	1	12008	0	294	0	0	4	4	78
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Mitsuokella	2	0	1	2	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	820	0	93	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Veillonella	10395	724	799	1822	2378	15266	1940	996	446	87	180	12	139	2	105	5	81	16	7	5	16	10	36	62	376	8	144	18	75	23	66	3	18536	1141	1000	2029	2833	74	32	1719	22703	135	14	4710	5192	48902	3746	28483	848	228	72306	17	10948	6	46	354	9022	130
Bacteria|Firmicutes|Negativicutes|Selenomonadales|unclassified|unclassified-Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|unclassified|unclassified|unclassified|unclassified-Firmicutes	1	0	3	302	0	0	2	94	163	187	483	0	97	0	0	0	274	13	629	0	2	109	4	207	0	242	424	9	1010	1	0	0	0	0	2419	0	0	0	479	573	1	1	0	0	0	0	0	0	5	1873	2	0	0	0	8	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae	1	15	14	0	1	2	0	0	5	0	0	0	1	0	1	5	0	0	0	16	15	0	26	0	1	0	0	2	29	0	0	2	4	0	0	0	0	1	3	5	1	0	0	0	0	0	1	5	17	0	0	0	0	0	31	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	19	17	9	19	0	2	0	3	25	0	0	0	0	0	0	2	0	0	0	3	1	1	2	0	0	13	2	0	2	0	0	0	0	4	0	1	40	0	3	17	0	0	0	113	4	94	12	1965	1	0	9	0	43	0	2	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	6	1	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Sneathia	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae|Victivallis	0	1	0	0	2	0	0	0	4	10	0	0	1	0	0	0	61	41	5	2	0	0	0	0	12	771	0	0	0	2	0	0	0	0	0	3	0	97	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	5	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	0	1	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas	4	3	1	4	2	2	0	1	8	5	0	1	2	16	20	0	4	2	6	12	4	2	0	22	5	0	6	5	1	5	0	0	5	1	0	11	3	2	4	8	2	1	3	0	0	0	3	0	0	0	5	0	0	1	0	0	14	1
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium	20	37	50	23	8	42	1	3	17	5	1	7	2	39	57	7	0	4	16	37	10	33	4	45	6	0	35	179	9	5	9	16	59	3	1	32	2	39	8	4	5	7	7	1	4	8	18	0	21	4	7	12	57	19	25	0	36	7
Bacteria|Proteobacteria|Alphaproteobacteria|RF32|unclassified|unclassified-RF32	79	1	0	0	137	0	1	0	2	795	1186	0	7	1	33	341	626	5591	940	45	0	128	1494	305	12821	72	40	54	57	1025	1490	0	0	0	434	0	21380	2124	86	0	0	0	0	0	0	0	154	0	1	1	8	914	0	2	2	4	0	246
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium	4	18	7	4	3	4	0	1	0	0	0	2	0	0	2	0	0	0	0	6	0	5	0	0	0	0	0	61	0	0	0	7	3	0	0	9	0	11	0	1	0	1	0	2	0	1	4	0	7	0	3	1	10	2	2	0	1	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Pedomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Methylobacterium	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	16	3	5	5	0	3	0	1	0	4	5	1	0	0	4	0	0	0	0	0	0	4	0	0	0	3	2	0	0	0	0
