"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083"
"Butyricimonas_virosa",0,0,0,1,1,0,2,27,27,2,17,12,65,7,1,0,1,10,0,1,66,0,0,0,214,0,1,1,0,34,0,0,9,0,28
"Christensenella_minuta",0,0,0,23,0,0,0,0,21,3,0,3,0,53,37,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,8,0,7
"Clostridium_disporicum",0,1323,5,84,0,134,0,334,3,6,130,2,41,26,155,18,14,7,93,62,38,9,6,2687,10,144,3,26,28,13,1,0,124,382,4
"Collinsella_aerofaciens",15,1,6,54,1,28,1,83,703,5,20,4,183,27,255,35,341,16,83,303,63,10,34,7,3,399,51,33,507,56,0,0,6,0,53
"Coprococcus_eutactus",0,7,14,0,0,3,2,306,1,41,0,0,59,65,0,0,106,0,257,0,0,0,0,0,0,37,36,0,0,0,0,0,198,39,150
"Dorea_longicatena",23,784,9,51,16,64,1,12,22,15,53,11,446,20,11,56,497,100,16,59,14,27,61,63,54,200,28,37,69,16,33,1,50,110,3736
"Eggerthella_lenta",2,4,0,0,0,4,0,0,0,0,0,0,0,2,0,3,7,0,4,0,1,3,5,0,3,2,0,0,1,1,4,0,3,60,0
"Erysipelatoclostridium_innocuum",10,89,89,1,0,4,0,2,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,1,0,70,0,15,0
"Eubacterium_eligens",14,0,0,12,2,0,9,10,16,60,1332,0,196,228,11,62,908,3,50,73,1,365,78,1,196,0,36,264,57,12,14,0,91,14,8
"Eubacterium_siraeum",6,2,0,17,6,0,1,5,142,139,492,14,2,0,89,181,169,319,104,905,0,0,20,0,14,3,31,2,5,51,10,1,0,0,333
"Fusicatenibacter_saccharivorans",209,20,2,21,11,71,11,20,16,82,70,27,91,10,44,42,1093,24,100,160,132,27,290,10,0,314,32,132,86,33,18,0,30,1038,2379
"Gemella_haemolysans",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0
"Granulicatella_adiacens",70,264,1,2,6,51,9,4,8,8,1,4,12,160,5,5,22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0
"Haemophilus_parainfluenzae",1189,1347,10,2456,244,8236,1,87,80,2,539,5,173,1,39,0,27,0,36,6,0,20,0,10,43,0,634,20,75,13,181,28,52,54,17
"Holdemania_filiformis",56,0,0,1,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,7,8,0,0,6,7,7,1,11,4,3,2,78,0,2,0
"Intestinibacter_bartlettii",3,1508,26,133,43,414,19,1376,1322,878,50,55,1490,1068,2274,129,194,59,1332,3790,2056,694,24,1181,15,59,22,122,219,3135,70,4,2025,5376,1599
"Intestinimonas_butyriciproducens",5,1,144,3,0,22,1,0,22,7,0,0,0,13,0,24,2,4,0,1,3,12,8,14,9,6,0,104,5,8,4,682,7,0,2
"Kluyvera_ascorbata",0,0,28,0,0,5,3,0,4,0,0,0,6,9,0,0,0,1782,2,3,1,0,0,20,1161,0,2,0,1,0,0,14,0,82,0
"Lachnoclostridium_aldenense",20,72,0,3,0,9,0,0,3,2,0,1,0,1,0,0,0,0,8,7,12,1,7,30,2,1,5,1,3,0,3,0,3,155,0
"Lachnoclostridium_asparagiforme",2,2,48,4,1,10,0,0,25,3,0,0,1,0,0,2,0,3,1,4,1,4,0,4,3,0,0,11,0,1,7,0,6,0,4
"Lachnoclostridium_citroniae",17,262,26,1,2,51,0,0,8,1,4,0,0,0,5,0,1,7,0,6,3,7,0,8,6,3,1,6,2,7,0,13,4,140,16
"Lachnoclostridium_scindens",38,1,0,0,5,0,1,0,1,8,4,1,0,1,2,0,0,4,8,7,23,0,1,55,5,0,4,0,7,18,2,0,0,0,0
"Lactobacillus_antri",12,0,0,0,0,2,0,0,1,20,13,14,5,1146,0,0,1,12,81,65,82,2,19,155,14,2,19,0,42,23,21,0,0,0,0
"Lactobacillus_rogosae",5,272,0,0,15,0,1,41,0,7,26,0,121,29,32,0,241,0,0,114,31,32,8,35,0,8,43,100,11,16,0,0,27,59,13
"Lactobacillus_salivarius",14,0,0,0,0,0,3,0,1,50,22,24,19,1231,12,14,7,35,303,89,216,0,41,630,28,0,40,3,99,35,35,13,5,0,0
"Lactococcus_lactis",0,80,21,1,0,58,0,1,2,14,4,4,0,120,2,12,14,3,14,15,33,5,26,92,3,3,28,0,29,19,27,0,0,16,26
"Methanobrevibacter_smithii_U55233_1",0,0,0,0,0,0,0,0,0,64,187,0,2,0,0,0,1,157,2,2,0,0,246,175,89,1227,0,0,3,0,0,0,0,0,12
"Odoribacter_splanchnicus",442,598,34,143,196,669,10,795,358,358,590,56,477,465,46,642,555,156,705,911,395,6727,768,226,1901,248,78,87,749,1071,277,1,58,1,1965
"Oscillospira_plautii",16,5,9,5,6,41,0,6,2,13,17,5,7,9,3,9,4,2,3,8,15,9,3,5,28,1,0,16,55,6,49,259,19,240,8
"OTU100.NN.Eubacterium_saphenum_GU427005.D.91",1,0,0,0,1,0,0,2,0,2,1,2,5,8,4,0,15,0,2,3,0,3,3,0,2,40,0,2,1,1,0,0,0,0,4
"OTU1000.NN.Bacteroides_vulgatus_BNRRR16SA.D.96_9",13580,35320,16930,815,729,3218,32,665,1162,687,830,1349,2032,926,4682,867,3639,2876,502,848,2481,5125,524,2833,2854,3375,388,2179,1356,1902,3487,25810,3200,0,3969
"OTU1028.NN.Ruminococcus_gnavus_JN713312.D.95_6",148,3379,16680,0,0,8,0,2,0,0,1,1,1,183,0,4,0,0,4,17,0,0,7,4,1,2,0,8,7,3,16,1,0,1671,0
"OTU1033.NN.Ruminococcus_bromii_DQ882649.D.88",0,0,0,0,0,0,0,4,0,9,1,7,0,0,0,82,11,10,143,14,17,16,42,19,18,12,6,23,14,33,2,0,12,1,1
"OTU1048.NN.Clostridium_populeti_X71853.D.91_9",1,0,0,0,0,0,2,0,0,0,265,0,124,0,0,0,71,5,33,0,0,0,98,0,2,0,7,0,0,0,0,0,3,0,0
"OTU1051.NN.Christensenella_minuta_AB490809.D.87_2",0,0,1,11,21,0,7,52,34,31,82,3,23,719,8,16,7,13,2,36,53,30,1665,32,8,10,21,21,65,43,0,0,118,53,37
"OTU1065.NN.OscillospiraFlavonifractor_plautii_Y18187.D.86_6",0,0,0,0,0,0,35,0,6,15,2,2,1,0,0,0,64,7,32,0,0,0,1,0,46,0,39,25,73,0,0,0,0,0,51
"OTU107.NN.Blautia_glucerasea_AB588023.D.95_6",3,1,1,36,33,18,10,11,19,16,38,8,414,4,7,41,2360,8,10,20,17,53,100,17,9,119,23,565,18,44,34,0,6,55,23
"OTU1074.NN.Papillibacter_cinnamivorans_AF167711.D.85_3",0,0,0,0,0,0,0,0,0,113,10,48,13,0,0,2,22,32,4,0,0,0,5,21,95,0,19,140,3,0,0,0,0,0,0
"OTU1087.NN.Blautia_glucerasea_AB588023.D.93",2,9,0,5,5,0,1,0,1,2,0,0,121,22,5,6,396,10,13,47,9,10,18,32,0,347,18,1,14,0,20,0,0,120,95
"OTU1096.NN.Alistipes_indistinctus_AB600999.D.96",0,2,0,0,64,0,0,8,37,0,0,0,14,0,169,0,3,0,3,0,0,0,0,0,0,29,36,0,0,1,0,0,0,0,0
"OTU1103.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_3",40,0,3,0,0,0,2,0,21,0,6,4,5,0,0,41,16,0,1,0,0,29,0,72,1,9,13,0,10,3,0,0,9,3,2
"OTU1109.NN.Blautia_wexlerae_EF036467.D.94_7",0,0,0,0,0,0,0,0,2,4,1,3,0,0,0,0,0,8,1,6,19,0,5,35,4,0,0,0,4,0,1,0,0,0,0
"OTU1147.NN.Clostridium_glycolicum_AY007244.D.96_3",3,460,30,1876,9,372,1,0,4,335,215,10,1407,0,182,16,51,0,2641,57,982,552,9,219,3,94,43,0,101,2916,0,4,937,32,137
"OTU1160.NN.Clostridium_methylpentosum_Y18181.D.94_6",0,0,0,0,0,0,0,0,3,8,4,2,0,1,0,12,0,0,2,16,10,12,3,0,0,0,0,0,17,5,9,0,22,0,23
"OTU117.NN.Clostridium_bolteae_AJ508452.D.90_7",0,0,0,29,0,0,0,0,3,0,28,0,35,0,0,0,71,192,8,18,0,22,524,0,0,0,0,0,0,0,37,0,0,0,16
"OTU119.NN.Papillibacter_cinnamivorans_AF167711.D.91_1",0,0,3,23,110,0,21,164,58,6,0,27,82,215,124,141,71,12,87,29,92,74,372,7,15,20,9,257,26,16,0,0,224,248,27
"OTU1196.NN.Christensenella_minuta_AB490809.D.86_5",0,0,0,0,0,0,0,0,0,84,0,1,3,0,0,0,89,0,6,0,76,7,1,982,4,0,0,0,5,28,0,0,0,0,0
"OTU1226.NN.Oscillibacter_valericigenes_AB238598.D.94_8",0,0,0,4,1,208,0,11,27,4,69,3,10,0,11,0,8,0,1,0,0,5,38,0,0,6,11,0,30,0,0,0,19,25,6
"OTU1240.NN.OscillospiraClostridium_viride_X81125.D.86",0,0,0,7,0,0,0,0,2,12,2,0,0,0,0,0,2,21,3,66,0,0,82,0,7,0,0,0,7,54,1,0,0,0,3
"OTU126.NN.Alistipes_marseilloanorexicus_JX101692.D.90_9",3,0,12,0,0,10,5,0,15,0,0,1,2,3,0,6357,72,9895,1026,5,4519,21510,755,5558,2,0,5,0,22300,5,0,0,2,2,1
"OTU1276.NN.Soleaferrea_massiliensis_JX101688.D.82_2",0,0,0,0,0,0,0,7,0,0,18,0,39,0,0,0,45,178,80,0,0,75,0,0,0,36,2,0,0,0,0,0,0,0,39
"OTU1288.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_8",0,0,0,2,2,0,0,0,0,3,7,0,1,14,0,1,0,0,0,10,0,3,5,0,0,0,0,7,0,1,6,0,3,3,3
"OTU1291.NN.Lactobacillus_gasseri_JQ805634.D.97",10,0,8,0,5,0,0,0,2,14,5,10,7,56,8,0,0,13,23,25,28,0,4,63,3,0,8,0,26,10,8,1,0,0,1
"OTU131.NN.Oscillibacter_valericigenes_AB238598.D.93_5",0,0,0,3,7,0,0,3,2,17,0,0,0,22,3,12,3,0,3,2,1,3,4,0,5,0,0,0,27,1,1,0,12,0,0
"OTU1322.NN.Catabacter_hongkongensis_AB671763.D.85_4",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,4,12,3,0,13,5,12,16,0,0,0,0,5
"OTU1335.NN.Oscillibacter_valericigenes_AB238598.D.95_6",0,0,0,9,0,0,2,41,36,1,87,0,19,10,4,3,34,39,9,57,24,95,44,127,85,8,20,25,32,26,17,0,0,14,8
"OTU1337.NN.Desulfovibrio_desulfuricans_DVURRDA.D.89",0,0,0,9,0,0,0,0,0,14,92,8,9,0,0,0,11,24,39,55,100,66,38,189,766,3,37,15,42,26,8,0,0,0,0
"OTU1339.NN.Clostridium_clariflavum_NR_102987_1.D.76_8",0,0,0,0,0,0,4,76,2079,465,95,0,82,0,1,0,78,6,10,0,0,0,3,202,14,1,343,32,3,1013,0,0,8,0,457
"OTU1358.NN.Oscillibacter_valericigenes_AB238598.D.91_3",5,2,2,561,65,0,5,27,125,90,266,19,276,64,16,7,185,142,25,23,0,0,161,32,259,68,28,54,4,47,0,0,0,0,12
"OTU136.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.91_2",1,0,0,9,0,0,5,0,1,24,265,0,12,0,0,0,25,23,0,0,0,1,0,0,0,110,107,0,59,14,0,0,0,0,0
"OTU1376.NN.Acinetobacter_septicus_EF611418.D.96",2,1,7,8,0,0,0,0,2,2,0,3,0,11,17,1,0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0
"OTU1387.NN.Alistipes_timonensis_JF824799.D.96_6",559,1,3,287,507,1961,10,8,411,101,21,9,110,184,234,2,593,261,1227,330,2671,5133,10829,3182,2136,23,50,375,263,42,2,171,1116,0,111
"OTU1413.NN.Mesorhizobium_loti_RLU50164.D.82_1",0,1,0,0,137,0,0,0,2,795,0,0,1,1,33,1,3,5503,0,0,0,0,1466,301,5714,0,0,0,2,0,1489,0,0,0,141
"OTU1424.NN.Dorea_formicigenerans_EUBRRDP.D.96_7",27,4,147,2,3,145,3,16,11,13,12,9,110,19,30,2,99,4,7,31,3,1,7,18,7,58,8,14,99,10,2,170,22,722,192
"OTU1427.NN.Clostridium_clariflavum_NR_102987_1.D.82_3",0,1,0,0,1,0,1,0,48,2,166,3,14,0,2,0,11,6,1,1,0,0,853,89,0,0,0,0,8,5806,0,0,0,0,0
"OTU1461.NN.Desulfitobacterium_frappieri_DFU40078.D.84_5",0,0,0,0,0,0,0,0,2,2,3,0,7,0,0,0,0,2,0,0,0,1,2,17,2,4,0,0,7,7,0,0,0,0,6
"OTU1482.NN.Veillonella_atypica_X84007.D.96_9",10260,718,705,1816,2375,15230,1935,994,408,86,179,5,138,2,104,3,78,15,7,5,16,10,36,62,372,8,143,15,75,23,64,3,18390,1139,987
"OTU1491.NN.Eubacterium_sulci_AJ006963.D.90_3",0,0,0,0,3,3,2,0,9,7,26,9,2,221,9,2,87,15,8,10,4,5,27,0,10,0,6,13,3,2,0,0,46,391,166
"OTU1513.NN.Christensenella_minuta_AB490809.D.84_3",0,0,0,0,0,0,0,2,0,9,3,0,3,0,0,10,11,0,3,6,22,0,3,1,1,1,0,2,6,0,0,0,0,1,3
"OTU152.NN.Oscillibacter_valericigenes_AB238598.D.94_3",10,2,18,476,1173,1,288,694,2402,1661,2146,864,9308,3539,433,39,4482,1858,315,236,282,661,214,3485,696,5858,282,412,2966,1654,189,57,1593,1,1521
"OTU1524.NN.Anaerofilum_pentosovorans_X97852.D.90_6",6,4,0,12,0,0,0,0,0,21,5,0,3,99,0,10,12,0,4,12,62,10,0,15,0,0,7,254,45,10,39,8,15,23,0
"OTU1527.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.93_9",10,0,0,61,2,1,0,130,0,9,48,19,19,151,14,85,19,6,18,58,100,16,21,27,130,6,8,57,82,8,37,81,26,49,6
"OTU1536.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_6",82,0,0,9,0,0,3,21,43,3,107,1,603,130,1240,4,48,27,51,75,31,23,767,114,72,9,95,93,94,22,62,0,644,1,2
"OTU1551.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.91_1",0,0,0,0,0,0,0,0,0,2,30,6,0,0,0,71,1,0,0,1,5,4,0,103,0,0,3,0,79,4,2,0,74,124,1
"OTU1552.NN.Catabacter_hongkongensis_AB671763.D.82_8",0,0,0,0,0,0,0,0,0,145,2,18,0,2,0,29,5,3,0,0,15,0,5,110,4,0,8,0,0,9,0,0,0,0,6
"OTU156.NN.Oscillibacter_valericigenes_AB238598.D.95_3",1,8,7,402,236,2033,53,217,705,403,867,52,481,138,1184,15,769,561,53,54,88,288,124,1,642,387,34,0,72,42,104,218,203,6,33
"OTU1560.NN.Oscillibacter_valericigenes_AB238598.D.90_2",0,1,0,1,0,0,0,8,1,0,11,0,19,0,0,0,2,4,0,0,20,0,0,7,0,0,1,0,0,5,12,0,10,3,0
"OTU1568.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_7",0,0,0,7,5,0,0,2,0,3,1,0,0,28,0,3,1,0,0,5,3,2,4,0,4,0,1,4,1,1,0,0,0,0,0
"OTU1592.NN.Christensenella_minuta_AB490809.D.88_2",0,0,0,0,0,0,0,1,0,30,16,3,1,69,0,32,1,5,0,2,0,4,6,10,0,1,4,23,9,6,0,0,0,2,3
"OTU160.NN.Intestinimonas_butyriciproducens_JX101685_1.D.91_4",0,3,11,89,0,925,24,880,4073,226,56,0,53,0,1170,0,3186,360,396,146,2,374,16,1,371,384,90,17,630,314,0,0,222,0,852
"OTU1615.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_1",0,0,0,0,0,0,0,10,0,7,24,0,37,51,0,0,10,20,5,0,0,6,0,2,0,2,0,0,0,156,0,0,0,0,1
"OTU1616.NN.Fusicatenibacter_saccharivorans_AB698912.D.90_2",36,21,6,37,33,82,17,14,11,66,17,27,634,39,71,11,2939,39,33,60,56,18,102,150,270,419,40,215,247,45,81,1,36,161,71
"OTU1632.NN.Ruminococcus_bromii_DQ882649.D.86_7",0,0,0,0,6,0,0,0,0,33,6,24,2,0,0,75,12,16,1,1,0,8,2,1,11,8,0,46,20,0,0,0,0,0,3
"OTU164.NN.Ruminococcus_bromii_DQ882649.D.85_6",0,0,0,0,0,0,0,0,0,186,13,0,5,0,0,0,151,0,0,2,0,0,3,0,1,153,27,0,2,156,0,0,0,0,0
"OTU1650.NN.Oxalobacter_formigenes_OFU49754.D.97",0,0,0,0,6,0,1,13,129,18,7,0,1,43,0,0,31,181,0,0,0,0,0,0,23,48,0,6,0,0,0,0,0,0,51
"OTU1678.NN.Veillonella_dispar_GQ422726.D.94_9",96,0,94,0,0,26,4,0,38,0,0,7,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,55,0,0
"OTU1683.NN.Ruminococcus_bromii_DQ882649.D.90",0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,15,1,0,5,0,3,25,3,75,7,0,3,0,6,5,0,0,0,17,5
"OTU1688.NN.Gemmiger_formicilis_GU562446.D.92_5",90,85,24,27,53,6,0,1,35,34,8,33,2,429,125,36,11,153,68,76,55,19,37,19,49,3,14,51,144,66,11,1301,29,30,17
"OTU1689.NN.Soleaferrea_massiliensis_JX101688.D.88_9",2,0,2,0,0,0,0,2,9,28,42,49,0,63,0,46,3,5,1,3,47,0,22,164,57,24,5,0,2,2,0,12,134,221,168
"OTU169.NN.Faecalibacterium_prausnitzii_X85022.D.96_7",229,3,12,823,502,27,51,178,5,71,1524,9,1791,19,3580,1,193,135,265,63,929,945,10,569,9,99,3311,10,1178,445,105,2,3323,199,129
"OTU1701.NN.Papillibacter_cinnamivorans_AF167711.D.89_7",0,0,1,93,0,0,0,0,0,0,20,0,16,2,0,24,31,3,1,66,0,0,2,0,11,20,1,0,0,62,0,1,0,0,0
"OTU1706.NN.Christensenella_minuta_AB490809.D.85_5",0,0,0,0,0,0,0,33,96,0,0,3,252,0,0,0,156,0,468,0,0,0,1,8,11,113,433,0,0,6,0,0,0,0,0
"OTU1709.NN.Desulfitobacterium_frappieri_DFU40078.D.85_6",0,0,0,0,0,0,0,0,0,48,15,3,18,0,0,93,4,0,8,0,22,0,5,52,2,6,33,0,86,0,0,0,0,0,6
"OTU1731.NN.Roseburia_intestinalis_AB661435.D.97",168,31,32,345,375,8220,330,678,311,731,2822,75,224,221,1725,449,1236,2378,117,3476,896,1599,3798,2946,618,334,836,18170,803,985,2895,1,2804,1041,1080
"OTU1736.NN.Alistipes_senegalensis_JF824804.D.96_3",0,6,0,0,0,0,0,0,447,0,0,0,17,226,0,184,0,6,13,0,0,0,2,0,11550,0,0,0,0,0,0,0,0,0,25
"OTU174.NN.Anoxystipes_fissicatena_NR_104800_1.D.92_4",6,1,0,47,13,1013,2,11,51,6,186,3,41,13,16,9,108,42,3,4,6,9,36,65,42,25,13,1,31,5,54,0,2,21,40
"OTU175.NN.Roseburia_hominis_AB661434.D.94_3",0,0,1,4,0,1,0,3,104,25,36,0,7,0,1,1,650,35,16,3,0,3,11,12,29,205,12,0,29,0,0,0,0,1,45
"OTU178.NN.Oscillibacter_valericigenes_AB238598.D.92_5",274,10,29,0,1149,5,968,0,1148,893,1868,347,812,41,1029,1,1313,841,223,5,1,105,901,1809,2,300,726,2,726,669,0,1,4056,2,36
"OTU18.NN.Ruminococcus_bromii_DQ882649.D.88_1",0,0,0,0,4,0,1,11,5,33,6,6,17,5,15,129,8,6,21,16,39,17,27,95,20,114,12,20,36,16,0,0,42,6,4
"OTU19.NN.Phenylobacterium_haematophilum_AJ244650.D.97",2,11,13,14,2,11,0,1,1,2,0,0,0,3,0,0,0,0,0,0,0,9,2,0,0,0,3,55,3,0,0,0,28,0,0
"OTU197.NN.Ruminococcus_albus_AY445596.D.93_7",0,0,2,0,0,3,8,1,16,139,11,9,7,3,248,334,34,1,8,40,228,0,1009,569,0,3,2,3,471,33,0,0,5949,5303,145
"OTU206.NN.Oscillibacter_valericigenes_AB238598.D.95_4",11,11,1,147,37,123,2,105,35,74,277,53,13,580,351,306,41,90,14,122,689,97,126,223,115,6,3,286,164,125,354,0,306,251,41
"OTU214.NN.Eubacterium_biforme_JF298897.D.96_8",0,0,11,29,0,0,0,0,0,160,1,2,3,49,2,0,0,0,187,0,0,0,0,0,4,0,0,0,0,16,1,0,0,0,0
"OTU234.NN.Prevotella_conceptionensis_HM587326.D.87_4",40,0,7,1,0,0,0,0,3,0,0,0,0,0,0,38,0,0,0,9,5,0,1,2,1,0,1,51,13,0,6,0,4,2,0
"OTU24.NN.Massilia_aurea_AM231588.D.96_2",62,26,3,0,2,15,0,0,44,15,13,7,15,55,102,4,2,16,42,70,48,1,8,155,13,3,27,28,39,42,8,26,2,4,2
"OTU252.NN.Rothia_aeria_AB753461.D.96_6",5,0,29,1,5,7,0,1,0,0,4,2,3,0,2,0,11,0,0,1,0,0,2,0,1,1,1,7,0,0,0,0,5,38,6
"OTU253.NN.Geobacillus_stearothermophilus_EF025325.D.75_9",15,0,109,2,4,13,0,14,4,0,2,0,4,6,3,0,2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0
"OTU255.NN.Anoxystipes_fissicatena_NR_104800_1.D.94_9",0,1,0,2,0,50,1,0,1,13,60,23,175,0,0,2,89,0,12,0,1,2,76,0,0,105,16,0,5,0,0,0,3,3,10
"OTU260.NN.Clostridium_clostridioforme_AY169422.D.94_1",11,6,0,4,1,2,0,0,4,5,21,3,43,2,19,0,77,19,1,11,1,3,2,19,105,147,9,16,2,5,32,0,10,295,72
"OTU285.NN.Butyrivibrio_crossotus_FR733670.D.90_9",0,0,3,0,0,0,0,0,7,2,69,0,0,0,0,0,95,2,0,1,2,0,7,8,0,0,1,4792,2,0,1,0,0,0,0
"OTU286.NN.Ruminococcus_bromii_DQ882649.D.96_6",0,0,0,0,0,0,0,0,13,84,1,0,7,16,13,15,3,21,23,38,40,7,6,6,20,25,0,5,113,21,53,0,8,8,20
"OTU293.NN.Clostridium_glycyrrhizinilyticum_AB233029.D.91_2",0,0,0,0,0,191,1,0,0,1,123,0,3,2,0,0,87,1060,7,13,2,3,6,9,0,106,0,0,8,32,28,0,12,99,13
"OTU303.NN.Eggerthella_lenta_AF292375.D.87_9",0,0,0,0,4,0,0,0,8,0,0,1,1,0,0,40,0,0,0,0,45,0,20,0,0,0,3,18,17,2,20,0,0,0,58
"OTU318.NN.Barnesiella_intestinihominis_AB370251.D.85",0,0,0,0,0,0,0,1,0,3,0,8,4,0,5,0,0,12,3,11,8,0,0,68,0,0,0,0,15,0,5,0,0,0,0
"OTU321.NN.Eubacterium_dolichum_AB649277.D.80_6",1,0,0,302,0,0,0,94,21,0,0,0,25,0,0,0,168,0,35,0,0,0,2,0,0,153,16,0,0,0,0,0,0,0,203
"OTU342.NN.Clostridium_clariflavum_NR_102987_1.D.77_3",0,1,0,66,47,0,3,124,28,9,36,26,258,47,0,1,324,110,50,3,0,11,74,21,65,701,606,113,117,75,0,0,161,182,36
"OTU355.NN.Clostridium_lactatifermentans_AY033434.D.90_6",81,1,0,0,0,31,0,0,0,0,0,12,0,0,0,33,2,0,2,90,0,0,2,377,0,0,32,1,14,0,0,0,0,0,0
"OTU363.NN.Anaerofilum_pentosovorans_X97852.D.92_9",0,0,0,2,1,0,1,0,3,5,3,0,4,18,0,0,3,4,0,26,0,0,1,19,7,9,1,3,0,41,0,0,0,0,2
