"","AIH","healthy"
"OTU156.NN.Oscillibacter_valericigenes_AB238598.D.95_3",6802,3679
"OTU1560.NN.Oscillibacter_valericigenes_AB238598.D.90_2",41,64
"OTU1568.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_7",49,26
"OTU1592.NN.Christensenella_minuta_AB490809.D.88_2",152,76
"OTU160.NN.Intestinimonas_butyriciproducens_JX101685_1.D.91_4",7510,7361
"OTU1615.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_1",129,202
"OTU1616.NN.Fusicatenibacter_saccharivorans_AB698912.D.90_2",1122,4983
"OTU1632.NN.Ruminococcus_bromii_DQ882649.D.86_7",146,129
"OTU164.NN.Ruminococcus_bromii_DQ882649.D.85_6",204,495
"OTU1650.NN.Oxalobacter_formigenes_OFU49754.D.97",218,340
"OTU1678.NN.Veillonella_dispar_GQ422726.D.94_9",267,60
"OTU1683.NN.Ruminococcus_bromii_DQ882649.D.90",22,155
"OTU1688.NN.Gemmiger_formicilis_GU562446.D.92_5",988,2153
"OTU1689.NN.Soleaferrea_massiliensis_JX101688.D.88_9",243,870
"OTU169.NN.Faecalibacterium_prausnitzii_X85022.D.96_7",8825,11919
"OTU1701.NN.Papillibacter_cinnamivorans_AF167711.D.89_7",156,198
"OTU1706.NN.Christensenella_minuta_AB490809.D.85_5",384,1196
"OTU1709.NN.Desulfitobacterium_frappieri_DFU40078.D.85_6",177,224
"OTU1731.NN.Roseburia_intestinalis_AB661435.D.97",16737,46013
"OTU1736.NN.Alistipes_senegalensis_JF824804.D.96_3",880,11596
"OTU174.NN.Anoxystipes_fissicatena_NR_104800_1.D.92_4",1418,507
"OTU175.NN.Roseburia_hominis_AB661434.D.94_3",183,1051
"OTU178.NN.Oscillibacter_valericigenes_AB238598.D.92_5",8574,11718
"OTU18.NN.Ruminococcus_bromii_DQ882649.D.88_1",232,499
"OTU19.NN.Phenylobacterium_haematophilum_AJ244650.D.97",60,100
"OTU197.NN.Ruminococcus_albus_AY445596.D.93_7",781,13798
"OTU206.NN.Oscillibacter_valericigenes_AB238598.D.95_4",2126,3053
"OTU214.NN.Eubacterium_biforme_JF298897.D.96_8",257,208
"OTU234.NN.Prevotella_conceptionensis_HM587326.D.87_4",89,95
"OTU24.NN.Massilia_aurea_AM231588.D.96_2",363,536
"OTU252.NN.Rothia_aeria_AB753461.D.96_6",59,73
"OTU253.NN.Geobacillus_stearothermophilus_EF025325.D.75_9",176,250
"OTU255.NN.Anoxystipes_fissicatena_NR_104800_1.D.94_9",328,322
"OTU260.NN.Clostridium_clostridioforme_AY169422.D.94_1",121,826
"OTU285.NN.Butyrivibrio_crossotus_FR733670.D.90_9",81,4911
"OTU286.NN.Ruminococcus_bromii_DQ882649.D.96_6",149,417
"OTU293.NN.Clostridium_glycyrrhizinilyticum_AB233029.D.91_2",321,1485
"OTU303.NN.Eggerthella_lenta_AF292375.D.87_9",54,183
"OTU318.NN.Barnesiella_intestinihominis_AB370251.D.85",21,122
"OTU321.NN.Eubacterium_dolichum_AB649277.D.80_6",443,577
"OTU342.NN.Clostridium_clariflavum_NR_102987_1.D.77_3",646,2649
"OTU355.NN.Clostridium_lactatifermentans_AY033434.D.90_6",158,520
"OTU363.NN.Anaerofilum_pentosovorans_X97852.D.92_9",37,116
"OTU371.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_5",2435,356
"OTU379.NN.Dialister_succinatiphilus_AB370249.D.96_3",9395,5183
"OTU383.NN.Clostridium_populeti_X71853.D.91_5",884,2473
"OTU392.NN.Aggregatibacter_aphrophilus_EF605278.D.95_1",679,18
"OTU395.NN.Clostridium_bolteae_AJ508452.D.93_5",456,1036
"OTU402.NN.Christensenella_minuta_AB490809.D.85_4",103,670
"OTU405.NN.Barnesiella_intestinihominis_AB370251.D.89_9",511,287
"OTU407.NN.Soleaferrea_massiliensis_JX101688.D.87_4",289,3157
"OTU42.NN.Ruminococcus_gauvreauii_EF529620.D.88_4",15,46
"OTU426.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_3",1356,585
"OTU434.NN.Clostridium_lactatifermentans_AY033434.D.95_2",362,412
"OTU436.NN.Intestinimonas_butyriciproducens_JX101685_1.D.92_9",131,2380
"OTU468.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_9",50,300
"OTU470.NN.Soleaferrea_massiliensis_JX101688.D.87_5",1014,3805
"OTU471.NN.Clostridium_lituseburense_CLORR16SC.D.96_6",25408,45930
"OTU481.NN.Clostridium_lactatifermentans_AY033434.D.85_5",608,159
"OTU482.NN.Eubacterium_sulci_AJ006963.D.89_4",294,239
"OTU483.NN.Lactobacillus_rogosae_GU269544.D.95_9",286,549
"OTU500.NN.Oscillibacter_valericigenes_AB238598.D.90_6",2331,3058
"OTU506.NN.Christensenella_minuta_AB490809.D.83_8",2633,14661
"OTU516.NN.Prevotella_copri_AB064923.D.96_6",136505,13313
"OTU520.NN.Clostridium_bolteae_AJ508452.D.93_9",12,219
"OTU521.NN.Papillibacter_cinnamivorans_AF167711.D.89_6",87,186
"OTU525.NN.Clostridium_clariflavum_NR_102987_1.D.78_1",302,1690
"OTU555.NN.Christensenella_minuta_AB490809.D.88_7",65,539
"OTU561.NN.Roseburia_inulinivorans_AJ270474.D.91_4",183,33
"OTU58.NN.OscillospiraFlavonifractor_plautii_Y18187.D.95_5",296,108
"OTU60.NN.Ruminococcus_bromii_DQ882649.D.89_6",146,629
"OTU622.NN.Clostridium_methylpentosum_Y18181.D.87_5",174,257
"OTU644.NN.Dorea_massiliensis_JX101687.D.88_1",5550,6000
"OTU657.NN.Soleaferrea_massiliensis_JX101688.D.88_5",876,1467
"OTU661.NN.Blautia_wexlerae_EF036467.D.94_9",868,4423
"OTU673.NN.Ruminococcus_callidus_X85100.D.93_8",4219,2056
"OTU694.NN.Clostridium_clariflavum_NR_102987_1.D.85_2",542,1596
"OTU699.NN.Clostridium_methylpentosum_Y18181.D.88_8",252,415
"OTU700.NN.Oscillibacter_valericigenes_AB238598.D.90_8",257,313
"OTU761.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_2",1202,5349
"OTU767.NN.Anoxystipes_fissicatena_NR_104800_1.D.93_6",287,466
"OTU790.NN.Barnesiella_intestinihominis_AB370251.D.84_6",8019,50
"OTU798.NN.Oscillibacter_valericigenes_AB238598.D.90_1",13961,10677
"OTU80.NN.Eubacterium_desmolans_EUBRRDO.D.94_1",408,898
"OTU807.NN.Soleaferrea_massiliensis_JX101688.D.86_9",343,2158
"OTU808.NN.Eubacterium_ramulus_EUBRRDT.D.95_9",777,663
"OTU810.NN.Soleaferrea_massiliensis_JX101688.D.87_6",22,5714
"OTU82.NN.Clostridium_lactatifermentans_AY033434.D.93_1",27,82
"OTU84.NN.Robinsoniella_peoriensis_AF445258.D.93_1",49,653
"OTU840.NN.Oscillibacter_valericigenes_AB238598.D.94_8",98,352
"OTU841.NN.Eubacterium_saphenum_GU427005.D.91_9",311,708
"OTU845.NN.Alistipes_onderdonkii_AB554231.D.96_7",48133,61133
"OTU855.NN.Roseburia_faecis_AY804149.D.95_5",3860,2870
"OTU857.NN.Eubacterium_sulci_AJ006963.D.90_2",107,362
"OTU867.NN.Christensenella_minuta_AB490809.D.91_9",117,378
"OTU869.NN.Papillibacter_cinnamivorans_AF167711.D.90_2",220,1223
"OTU877.NN.OscillospiraFlavonifractor_plautii_Y18187.D.93_8",153,346
"OTU902.NN.Prevotella_loescheii_AB547688.D.88_8",584,1520
"OTU916.NN.Eubacterium_siraeum_EUBRRDV.D.93_2",113,2923
"OTU924.NN.Barnesiella_intestinihominis_AB370251.D.85_8",5,105
"OTU93.NN.Ruminococcus_bromii_DQ882649.D.96_3",34018,43889
"OTU957.NN.Anoxystipes_fissicatena_NR_104800_1.D.93_2",127,570
"OTU962.NN.Oscillibacter_valericigenes_AB238598.D.89_7",4110,2074
"OTU970.NN.Catabacter_hongkongensis_AB671763.D.84_7",39,499
"OTU976.NN.Eubacterium_sulci_AJ006963.D.91_7",89,135
"OTU98.NN.Christensenella_minuta_AB490809.D.84_9",282,154
"OTU988.NN.Barnesiella_intestinihominis_AB370251.D.87_1",1893,5156
"OTU995.NN.Gemmiger_formicilis_GU562446.D.92",65553,82214
"OTU997.NN.Catabacter_hongkongensis_AB671763.D.82_9",32,61
"Parabacteroides_goldsteinii",305,2050
"Parabacteroides_merdae",5107,4097
"Paraprevotella_clara",3800,2863
"Parasutterella_excrementihominis",1605,19461
"Pelomonas_saccharophila",260,528
"Phascolarctobacterium_faecium",24679,40186
"Phascolarctobacterium_succinatutens",470,24
"Phenylobacterium_haematophilum",259,371
"Ruminococcus_callidus",3562,5827
"Ruminococcus_lactaris",954,918
"Shigella_sonnei",1141,853
"Slackia_isoflavoniconvertens",95,100
"Streptococcus_anginosus",104,11
"Streptococcus_infantis",573,142
"Sutterella_wadsworthensis",3019,1785
"Turicibacter_sanguinis",18921,24109
"Tyzzerella_lactatifermentans",398,83
"Veillonella_rogosae",70,113
"NA",222774,366765
