"","log2FC","lfcSE","Pvalues","FDR"
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",2.4374,0.80091,0.00234,0.02847
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",2.8138,0.94934,0.0030373,0.035761
"Ruminococcaceae_18",-3.1358,1.0898,0.004011,0.04575
"Fusicatenibacter_saccharivorans",1.8691,0.65382,0.0042528,0.047039
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",1.9595,0.69048,0.0045409,0.048748
"Pasteurellaceae",-2.8616,1.0336,0.0056321,0.058735
"unclassified_19",2.712,1.0007,0.0067231,0.068165
"Lachnospiraceae_36",2.4613,0.91481,0.007135,0.070303
"OTU561|NN=Roseburia_inulinivorans_AJ270474|D=91_4",-3.2214,1.2011,0.0073192,0.070303
"Lachnoclostridium_1",1.6582,0.63069,0.0085599,0.079084
"Fusobacterium",-2.9696,1.1323,0.0087268,0.079084
"Bacteria_8",-0.95866,0.36695,0.0089885,0.079084
"Lachnospiraceae_46",2.216,0.84959,0.0091001,0.079084
"Lactobacillus_salivarius",2.0819,0.81038,0.010199,0.085006
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6",2.1158,0.82412,0.010247,0.085006
"unclassified_3",1.9526,0.7858,0.012963,0.10514
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",1.5527,0.66491,0.019535,0.15461
"Clostridiales_67",2.2787,0.98162,0.020267,0.15461
"Christensenella_minuta",-2.6135,1.1264,0.020332,0.15461
"Clostridiales_1",1.4018,0.61189,0.021965,0.16362
"Parasutterella_excrementihominis",1.8951,0.83189,0.022722,0.16587
"Bacteria_3",-0.87258,0.38498,0.023416,0.16758
"OTU1048|NN=Clostridium_populeti_X71853|D=91_9",2.8101,1.2458,0.024087,0.16908
"Porphyromonadaceae_7",2.2594,1.0171,0.02633,0.17836
"Alistipes_5",2.0827,0.93795,0.026388,0.17836
"Lactobacillus_antri",1.8542,0.83841,0.026993,0.17914
"Bacteroides_3",2.3653,1.0888,0.029817,0.19435
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",1.2028,0.5628,0.032588,0.20868
"Brevundimonas_vesicularis",-1.5512,0.73028,0.033662,0.21184
"Phascolarctobacterium_succinatutens",-2.1081,1.006,0.036122,0.22167
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",2.632,1.2581,0.036439,0.22167
"Barnesiella_1",1.9722,0.95525,0.038958,0.22655
"OTU1736|NN=Alistipes_senegalensis_JF824804|D=96_3",-2.675,1.2961,0.039033,0.22655
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",2.3158,1.1225,0.039103,0.22655
"Pelomonas_saccharophila",-1.2486,0.61188,0.041289,0.23548
"Bradyrhizobium_elkanii",-2.0944,1.0388,0.043787,0.24283
"Shigella_sonnei",-1.4495,0.71939,0.04391,0.24283
"Holdemania_filiformis",1.6717,0.83572,0.045462,0.24767
"Lachnospiraceae_6",1.8539,0.93079,0.046399,0.24853
"Bacteria_5",1.8321,0.92292,0.047137,0.24853
"OTU214|NN=Eubacterium_biforme_JF298897|D=96_8",-2.3599,1.192,0.047722,0.24853
"Bacteria",-0.77385,0.39518,0.050206,0.24853
"OTU107|NN=Blautia_glucerasea_AB588023|D=95_6",1.1114,0.57031,0.051329,0.24853
"Bacteroidales_5",1.9598,1.0077,0.0518,0.24853
"OTU436|NN=Intestinimonas_butyriciproducens_JX101685_1|D=92_9",2.4142,1.2469,0.052855,0.24853
"Bacteroides_caccae",-1.3855,0.71581,0.052928,0.24853
"Methanobrevibacter_smithii_U55233_1",2.3915,1.2403,0.05383,0.24853
"OTU924|NN=Barnesiella_intestinihominis_AB370251|D=85_8",1.8386,0.95477,0.054139,0.24853
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",1.346,0.69922,0.054221,0.24853
"Barnesiella_10",1.8499,0.9615,0.054359,0.24853
"Alistipes_6",1.7906,0.93113,0.054473,0.24853
"Lachnoclostridium",1.3544,0.70674,0.055313,0.24925
"OTU673|NN=Ruminococcus_callidus_X85100|D=93_8",-2.1295,1.1199,0.057226,0.25472
"Atopobium",-1.6036,0.85673,0.061247,0.2679
"unclassified_39",1.6614,0.88917,0.061702,0.2679
"Lachnospiraceae_9",1.309,0.70271,0.062502,0.2679
"Bacteria_1",-0.7665,0.41346,0.063757,0.2679
"Bacteria_7",-0.71247,0.38446,0.063855,0.2679
"Prevotella_1",-1.8931,1.0282,0.065606,0.27212
"Lachnoclostridium_citroniae",-1.3858,0.76072,0.068497,0.28091
"OTU1491|NN=Eubacterium_sulci_AJ006963|D=90_3_1",1.3119,0.72276,0.069508,0.28189
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",1.5245,0.84981,0.07282,0.29023
"Parabacteroides_goldsteinii",1.6563,0.92832,0.074393,0.29023
"Firmicutes_11",1.8852,1.0571,0.074522,0.29023
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",1.2968,0.72773,0.074743,0.29023
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",1.6706,0.95697,0.080852,0.31064
"Butyricimonas",-1.5053,0.87452,0.085204,0.32395
"OTU197|NN=Ruminococcus_albus_AY445596|D=93_7",1.5456,0.91017,0.089471,0.33667
"Clostridiales_54",1.4915,0.88669,0.092544,0.34468
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",1.652,0.99344,0.096337,0.35413
"unclassified_1",1.2937,0.77959,0.097022,0.35413
"OTU19|NN=Phenylobacterium_haematophilum_AJ244650|D=97",-1.6416,0.99854,0.10017,0.35752
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6_1",1.0842,0.66,0.10045,0.35752
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",1.2592,0.76753,0.10089,0.35752
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",1.7865,1.0951,0.10282,0.36084
"Veillonella_rogosae",-1.3345,0.82143,0.10425,0.36241
"OTU1109|NN=Blautia_wexlerae_EF036467|D=94_7",1.5966,0.98605,0.10541,0.36296
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",1.2837,0.79722,0.10735,0.36587
"Bacteria_4",-0.63168,0.39386,0.10876,0.36587
"OTU1276|NN=Soleaferrea_massiliensis_JX101688|D=82_2",2.0346,1.2704,0.10926,0.36587
"Lachnospiraceae_7",1.3871,0.88056,0.11521,0.38227
"Clostridiales_20",1.3474,0.86142,0.11777,0.38727
"Lachnospiraceae_49",1.5279,0.98112,0.11939,0.38859
"Ruminococcus",1.0708,0.68925,0.1203,0.38859
"OTU1688|NN=Gemmiger_formicilis_GU562446|D=92_5",-0.84018,0.54991,0.12655,0.40517
"OTU1551|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=91_1",1.5802,1.0456,0.13072,0.41287
"Clostridiales_9",1.3579,0.89966,0.13121,0.41287
"OTU164|NN=Ruminococcus_bromii_DQ882649|D=85_6_1",1.9257,1.2934,0.13654,0.42167
"Gemella_haemolysans",-1.2288,0.82655,0.1371,0.42167
"OTU840|NN=Oscillibacter_valericigenes_AB238598|D=94_8",1.0116,0.68108,0.13748,0.42167
"Ruminococcaceae_16",-1.1699,0.79877,0.14304,0.43239
"unclassified_21",1.6683,1.14,0.14335,0.43239
"Ruminococcaceae_3",1.1997,0.82219,0.14452,0.43239
"Eubacterium_eligens",1.1238,0.77906,0.14917,0.44265
"Sphingomonas",-0.80193,0.55811,0.15076,0.44376
"Oscillospira_4",1.3694,0.95998,0.15374,0.44892
"Oscillibacter_1",1.4979,1.0562,0.15611,0.44916
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",1.3931,0.98814,0.15859,0.44916
"Lachnoclostridium_scindens",1.1524,0.81755,0.15867,0.44916
"OTU970|NN=Catabacter_hongkongensis_AB671763|D=84_7",1.464,1.0388,0.15874,0.44916
"Eubacterium_2",0.79972,0.57328,0.16302,0.45771
"unclassified_4",1.1581,0.83557,0.16576,0.4596
"Alistipes_putredinis",-1.109,0.801,0.16621,0.4596
"OTU1615|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_1",-1.4341,1.0794,0.18397,0.49962
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",-1.056,0.796,0.18463,0.49962
"Coprococcus",0.97075,0.73201,0.18479,0.49962
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3",-1.0018,0.75893,0.18684,0.50143
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",0.77548,0.59409,0.19178,0.51096
"unclassified_2",0.77273,0.59875,0.19685,0.51552
"Blautia_1",1.0011,0.77667,0.19741,0.51552
"OTU1074|NN=Papillibacter_cinnamivorans_AF167711|D=85_3",1.3128,1.0192,0.19773,0.51552
"Bacteroides_4",-0.70859,0.5563,0.20275,0.52484
"Ruminococcus_callidus",1.2748,1.0137,0.20855,0.53514
"Oscillibacter",-0.92471,0.73711,0.20966,0.53514
"OTU857|NN=Eubacterium_sulci_AJ006963|D=90_2",-1.1483,0.92516,0.21453,0.54101
"Alistipes_indistinctus",1.1936,0.96694,0.21707,0.54101
"Oscillospira_plautii",0.73912,0.5989,0.21715,0.54101
"Erysipelatoclostridium",0.87071,0.70884,0.21931,0.54101
"Kluyvera_ascorbata",1.2872,1.0513,0.22079,0.54101
"Lachnospiraceae_12",1.2031,0.98579,0.22231,0.54101
"unclassified_13",1.0248,0.84704,0.22633,0.54101
"OTU1160|NN=Clostridium_methylpentosum_Y18181|D=94_6",1.1238,0.93123,0.22751,0.54101
"Bacteroides_8",-0.98322,0.81618,0.22833,0.54101
"OTU176|NN=Butyrivibrio_crossotus_FR733670|D=87_8",-1.2476,1.0381,0.22944,0.54101
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.9748,0.81127,0.22953,0.54101
"Bilophila_wadsworthia",0.94279,0.78852,0.23183,0.54101
"OTU234|NN=Prevotella_conceptionensis_HM587326|D=87_4",-1.1997,1.0079,0.23393,0.54101
"OTU402|NN=Christensenella_minuta_AB490809|D=85_4",1.5301,1.2884,0.23502,0.54101
"OTU285|NN=Butyrivibrio_crossotus_FR733670|D=90_9",1.314,1.1081,0.23567,0.54101
"Actinomyces_odontolyticus",-0.60931,0.51494,0.2367,0.54101
"unclassified_54",1.1853,1.0027,0.23716,0.54101
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.89319,0.75923,0.23942,0.54278
"Parabacteroides_merdae",-1.02,0.87586,0.24421,0.54544
"Sutterella_wadsworthensis",-1.2412,1.0728,0.24729,0.54544
"OTU976|NN=Eubacterium_sulci_AJ006963|D=91_7",1.124,0.97581,0.24939,0.54544
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",1.4497,1.2591,0.2496,0.54544
"Lactococcus_lactis",-0.84116,0.73114,0.24995,0.54544
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",-1.4574,1.2677,0.2503,0.54544
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.69693,0.60757,0.25135,0.54544
"Lachnospiraceae_15",1.0775,0.94211,0.25275,0.54544
"Oscillibacter_3",1.1014,0.96755,0.25499,0.54544
"OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95_2",-1.3331,1.1724,0.25554,0.54544
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",1.1807,1.0509,0.26123,0.54689
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",-0.96026,0.85531,0.26156,0.54689
"OTU555|NN=Christensenella_minuta_AB490809|D=88_7_1",1.2794,1.1404,0.26193,0.54689
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.94337,0.8414,0.26221,0.54689
"OTU1096|NN=Alistipes_indistinctus_AB600999|D=96",-1.3804,1.2639,0.27475,0.56511
"OTU525|NN=Clostridium_clariflavum_NR_102987_1|D=78_1",1.3217,1.2128,0.27578,0.56511
"OTU855|NN=Roseburia_faecis_AY804149|D=95_5",-0.72937,0.67037,0.2766,0.56511
"Roseburia",-0.76081,0.70229,0.27866,0.56511
"OTU117|NN=Clostridium_bolteae_AJ508452|D=90_7",1.3046,1.2044,0.27869,0.56511
"Clostridium_disporicum",-0.76753,0.72124,0.28724,0.57593
"Bacteria_2",-0.38703,0.36412,0.28782,0.57593
"Phenylobacterium_haematophilum",-0.66455,0.62643,0.28875,0.57593
"Alistipes_marseilloanorexicus",0.98242,0.94033,0.29613,0.58744
"OTU644|NN=Dorea_massiliensis_JX101687|D=88_1",-0.62405,0.60394,0.30146,0.59364
"Coprococcus_1",0.8188,0.79414,0.30251,0.59364
"Lachnoclostridium_asparagiforme",-0.79138,0.77363,0.30633,0.59793
"OTU520|NN=Clostridium_bolteae_AJ508452|D=93_9",0.88297,0.87609,0.31353,0.60533
"Tyzzerella_lactatifermentans",-0.87624,0.872,0.31497,0.60533
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6_3",1.0577,1.0529,0.31511,0.60533
"Lachnospiraceae_65",0.91374,0.91978,0.3205,0.61247
"unclassified_24",0.95176,0.96491,0.32395,0.61584
"Bacteroides_7",-1.0066,1.0308,0.3288,0.61901
"OTU318|NN=Barnesiella_intestinihominis_AB370251|D=85",1.052,1.0777,0.32901,0.61901
"OTU131|NN=Oscillibacter_valericigenes_AB238598|D=93_5",-0.80228,0.84225,0.34082,0.63795
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",-0.71564,0.75653,0.34417,0.63988
"Barnesiella_intestinihominis_1",0.83135,0.88243,0.34613,0.63988
"OTU807|NN=Soleaferrea_massiliensis_JX101688|D=86_9",1.1346,1.2068,0.34711,0.63988
"Clostridiales_47",0.95165,1.0349,0.35779,0.65617
"Bacteroides_2",-0.59745,0.65207,0.35955,0.65617
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.78662,0.86419,0.3627,0.65863
"Clostridiales_33",0.89102,0.99063,0.36841,0.66295
"Granulicatella_adiacens",-0.57458,0.63934,0.36881,0.66295
"OTU1461|NN=Desulfitobacterium_frappieri_DFU40078|D=84_5",0.81254,0.91014,0.37198,0.66295
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3_1",-0.69667,0.78094,0.37234,0.66295
"OTU82|NN=Clostridium_lactatifermentans_AY033434|D=93_1",0.65744,0.74482,0.37741,0.6656
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",-0.7942,0.89989,0.37748,0.6656
"OTU1424|NN=Dorea_formicigenerans_EUBRRDP|D=96_7",0.5304,0.60341,0.3794,0.66578
"Bifidobacterium_bifidum",0.86383,1.0013,0.38832,0.67452
"Lachnospiraceae_30",0.77257,0.89673,0.38894,0.67452
"OTU1706|NN=Christensenella_minuta_AB490809|D=85_5",1.0989,1.2782,0.38993,0.67452
"OTU500|NN=Oscillibacter_valericigenes_AB238598|D=90_6",0.88662,1.0448,0.3961,0.67954
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",-0.44996,0.5323,0.39794,0.67954
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",-0.54986,0.65115,0.39842,0.67954
"OTU321|NN=Eubacterium_dolichum_AB649277|D=80_6",1.0326,1.2315,0.40176,0.68171
"Bacteria_6",-0.24037,0.28768,0.40342,0.68171
"OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_3",0.56108,0.68098,0.40998,0.68866
"OTU482|NN=Eubacterium_sulci_AJ006963|D=89_4",-0.80093,0.98187,0.41466,0.68866
"Bacteroides_clarus",1.0085,1.2396,0.41591,0.68866
"Ruminococcus_lactaris",-0.67922,0.83604,0.41655,0.68866
"OTU1592|NN=Christensenella_minuta_AB490809|D=88_2",-0.69019,0.85032,0.41697,0.68866
"Bacteroides_uniformis",0.55082,0.68795,0.42333,0.69601
"Clostridiales_21",0.62896,0.80642,0.43542,0.70997
"Lachnospiraceae_40",0.68248,0.88243,0.43928,0.70997
"Butyricimonas_virosa",-0.71566,0.92775,0.44047,0.70997
"Parabacteroides",0.48299,0.62712,0.44119,0.70997
"Clostridiales_8",-0.56773,0.7377,0.44154,0.70997
"OTU841|NN=Eubacterium_saphenum_GU427005|D=91_9",0.51134,0.67384,0.44795,0.71711
"OTU303|NN=Eggerthella_lenta_AF292375|D=87_9",0.8603,1.1389,0.45002,0.71728
"Ruminococcaceae_20",-0.76781,1.025,0.45379,0.71972
"Faecalibacterium_1",0.36766,0.49265,0.45549,0.71972
"OTU1568|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_7",-0.58657,0.79705,0.46177,0.7265
"OTU174|NN=Anoxystipes_fissicatena_NR_104800_1|D=92_4",-0.41068,0.56814,0.46977,0.73283
"OTU1103|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_3",-0.66141,0.91621,0.47035,0.73283
"OTU1427|NN=Clostridium_clariflavum_NR_102987_1|D=82_3",-0.72799,1.0118,0.47182,0.73283
"OTU371|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_5",-0.62135,0.8767,0.47849,0.73912
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",-0.52353,0.7411,0.47992,0.73912
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",-0.70816,1.0072,0.48198,0.73917
"Clostridiales_42",-0.62164,0.8954,0.48752,0.74381
"OTU42|NN=Ruminococcus_gauvreauii_EF529620|D=88_4",0.62096,0.89763,0.48908,0.74381
"Blautia",-0.46831,0.68173,0.49212,0.74533
"Collinsella_aerofaciens",0.45949,0.69731,0.50994,0.76526
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92",0.31544,0.48607,0.51636,0.76526
"Christensenellaceae",-0.47731,0.73727,0.51737,0.76526
"Bacteroides_cellulosilyticus",0.58606,0.91383,0.52131,0.76526
"Clostridiales_12",-0.59804,0.93341,0.52171,0.76526
"Bacteroides_6",-0.41314,0.64693,0.52308,0.76526
"OTU58|NN=OscillospiraFlavonifractor_plautii_Y18187|D=95_5",-0.53093,0.83261,0.52369,0.76526
"Butyricimonas_1",-0.55135,0.86837,0.52548,0.76526
"Bacteroides_massiliensis",0.78559,1.2401,0.52642,0.76526
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4_1",0.59113,0.93519,0.52732,0.76526
"Lachnospiraceae_44",0.62462,0.99062,0.52835,0.76526
"Pseudomonas",-0.42502,0.68209,0.53321,0.76926
"Lactobacillus_rogosae",0.49119,0.8026,0.54054,0.77676
"Ruminococcaceae_6",0.50715,0.83537,0.54379,0.77836
"Fusobacteriaceae",-0.60964,1.0186,0.54952,0.77955
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.50383,0.84464,0.55084,0.77955
"OTU845|NN=Alistipes_onderdonkii_AB554231|D=96_7",-0.41687,0.69918,0.55102,0.77955
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",-0.6133,1.0476,0.55825,0.78673
"unclassified_7",0.51859,0.91256,0.56985,0.79998
"Erysipelatoclostridium_innocuum",-0.59105,1.0573,0.57617,0.80288
"Clostridiales_15",-0.51491,0.9215,0.57632,0.80288
"OTU468|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_9",0.55007,0.99507,0.5804,0.80291
"OTU1616|NN=Fusicatenibacter_saccharivorans_AB698912|D=90_2",0.26976,0.48842,0.58074,0.80291
"unclassified_18",-0.58573,1.0674,0.58318,0.80324
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",-0.4088,0.7708,0.59586,0.81513
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",-0.40114,0.75721,0.59628,0.81513
"Actinobacteria",0.6043,1.1582,0.60184,0.81967
"Phascolarctobacterium_faecium",0.50811,0.9943,0.60934,0.82679
"OTU1226|NN=Oscillibacter_valericigenes_AB238598|D=94_8",-0.45333,0.89592,0.61286,0.82848
"Ruminococcaceae_8",-0.40901,0.82071,0.61823,0.82848
"OTU1552|NN=Catabacter_hongkongensis_AB671763|D=82_8",-0.51209,1.0283,0.6185,0.82848
"unclassified_38",0.42563,0.86144,0.62124,0.82848
"Clostridium",0.4248,0.86147,0.62193,0.82848
"OTU395|NN=Clostridium_bolteae_AJ508452|D=93_5",0.31964,0.65957,0.62795,0.83346
"Akkermansia_muciniphila",-0.40573,0.86221,0.63795,0.84281
"OTU24|NN=Massilia_aurea_AM231588|D=96_2",-0.28579,0.61035,0.63961,0.84281
"OTU253|NN=Geobacillus_stearothermophilus_EF025325|D=75_9",-0.33241,0.7218,0.64513,0.84703
"OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87_1",0.44358,0.97521,0.64921,0.84833
"Firmicutes",0.65283,1.4515,0.65289,0.84833
"Dialister",-0.40493,0.90525,0.65465,0.84833
"Alistipes_1",-0.27297,0.6117,0.65542,0.84833
"Bifidobacterium",-0.2481,0.56881,0.66271,0.85341
"Eggerthella_lenta",0.34022,0.7872,0.6656,0.85341
"OTU699|NN=Clostridium_methylpentosum_Y18181|D=88_8",-0.31097,0.72127,0.66636,0.85341
"OTU1376|NN=Acinetobacter_septicus_EF611418|D=96",-0.30727,0.72894,0.67337,0.85937
"Coprococcus_eutactus",0.45948,1.0989,0.67586,0.85954
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.2745,0.66323,0.67896,0.86048
"OTU481|NN=Clostridium_lactatifermentans_AY033434|D=85_5",-0.49414,1.2228,0.68614,0.86553
"OTU100|NN=Eubacterium_saphenum_GU427005|D=91",-0.2859,0.71118,0.68768,0.86553
"Barnesiella_intestinihominis_2",-0.41681,1.1066,0.70643,0.88607
"Lachnospiraceae_27",0.33831,0.91768,0.71238,0.89048
"OTU1513|NN=Christensenella_minuta_AB490809|D=84_3",0.30908,0.85234,0.71689,0.89175
"Ruminococcaceae_35",-0.35332,0.98202,0.71901,0.89175
"Bacteroides_9",-0.2687,0.75759,0.72283,0.89175
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.31622,0.89272,0.72317,0.89175
"Clostridium_1",-0.25269,0.72199,0.72635,0.89265
"OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_2",-0.23893,0.71567,0.73849,0.90453
"Intestinimonas_butyriciproducens",0.24888,0.76016,0.74336,0.90744
"Staphylococcus",-0.22297,0.69795,0.74937,0.90809
"Clostridiales_2",0.19354,0.60958,0.75087,0.90809
"OTU997|NN=Catabacter_hongkongensis_AB671763|D=82_9_1",0.33393,1.0541,0.75141,0.90809
"Oscillospira",-0.20558,0.66502,0.75722,0.90809
"OTU877|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_8",0.31367,1.0202,0.7585,0.90809
"unclassified_5",0.31748,1.0412,0.76043,0.90809
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.24328,0.80089,0.7613,0.90809
"OTU962|NN=Oscillibacter_valericigenes_AB238598|D=89_7",-0.33039,1.1343,0.77083,0.91646
"OTU98|NN=Christensenella_minuta_AB490809|D=84_9",-0.28065,1.0057,0.7802,0.92412
"OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89_9",-0.31155,1.1277,0.78234,0.92412
"Dorea_longicatena",0.13267,0.486,0.78487,0.92412
"Anaerotruncus_colihominis",-0.2197,0.85664,0.79759,0.93608
"Ruminococcaceae_15",0.21684,0.8636,0.80174,0.93794
"OTU1701|NN=Papillibacter_cinnamivorans_AF167711|D=89_7",0.2436,1.0223,0.81166,0.94392
"Porphyromonadaceae_1",-0.21778,0.91577,0.81203,0.94392
"Eubacterium",-0.20622,0.89013,0.81679,0.9444
"OTU363|NN=Anaerofilum_pentosovorans_X97852|D=92_9",0.18667,0.80945,0.81761,0.9444
"Faecalibacterium_2",-0.13865,0.66591,0.83506,0.9615
"Faecalibacterium",0.1467,0.72119,0.83881,0.96279
"Clostridiaceae",0.248,1.2727,0.8455,0.96743
"OTU1709|NN=Desulfitobacterium_frappieri_DFU40078|D=85_6",0.19469,1.0428,0.85189,0.97169
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",0.16316,0.89815,0.85585,0.97295
"Turicibacter_sanguinis",0.1396,0.7839,0.85866,0.97295
"Lachnoclostridium_aldenense",0.13924,0.79517,0.861,0.97295
"OTU808|NN=Eubacterium_ramulus_EUBRRDT|D=95_9",-0.1551,0.90392,0.86376,0.97306
"Ruminococcaceae_4",-0.17679,1.0727,0.8691,0.97392
"OTU1291|NN=Lactobacillus_gasseri_JQ805634|D=97",-0.12789,0.79091,0.87154,0.97392
"OTU1051|NN=Christensenella_minuta_AB490809|D=87_2",-0.091473,0.58941,0.87667,0.97392
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",-0.11478,0.74444,0.87747,0.97392
"OTU470|NN=Soleaferrea_massiliensis_JX101688|D=87_5",0.18076,1.1928,0.87954,0.97392
"Barnesiella_intestinihominis",0.14305,0.97926,0.88386,0.97392
"Firmicutes_5",-0.1628,1.1233,0.88477,0.97392
"Intestinibacter_bartlettii",0.093732,0.67654,0.88981,0.97392
