"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH027","AIH031","AIH040","AIH046","AIH058","AIH068","AIH018","AIH023","AIH033","AIH035","AIH043","AIH047","AIH052","AIH059","AIH069","AIH071","AIH072","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH020","AIH021","AIH022","AIH026","AIH029","AIH030","AIH032","AIH036","AIH037","AIH039","AIH042","AIH070","AIH074","AIH077"
"Paraprevotella",0,0,3,2835,6,0,8,1,4,0,0,0,5,1,0,0,0,0,0,15,0,21,2,1512,0,0,0,0,255,0,3,772,257,360,427,194,264,2,0,0,57,2,0,0,4,0,0,3,4,0,187,0,2,488,0,0,674
"Parasutterella",16,0,14,7,7536,564,0,71,10110,2,3,774,71,86,0,42,86,1,78,2,0,1,2,0,51,0,0,0,49,5,1,130,6,0,11,16,0,68,361,1,0,0,0,0,0,1,13,22,10,0,14,1,42,0,1294,0,1829
"Pelomonas",0,2,10,19,13,37,4,52,7,1,8,258,12,8,11,6,77,1,2,19,12,0,25,0,2,6,4,10,16,16,8,11,4,30,6,2,16,10,47,5,8,0,7,1,42,46,11,1,13,15,13,50,42,23,18,16,2
"Phascolarctobacterium",50,979,14,6751,9,4,16743,14,4,3129,0,12460,44,4,0,3,0,0,2,10177,1,32,31,0,6,9,0,2,870,329,12601,1,37,477,1,1186,1,7065,36323,1,18,1,29,0,11,16,2772,0,394,19,1248,1,7,0,9504,6424,0
"Phenylobacterium",0,4,16,37,10,33,4,45,6,0,35,179,9,5,9,16,59,3,1,18,4,1,25,1,2,20,4,12,23,3,17,5,7,39,7,0,32,2,39,8,4,5,7,1,37,50,8,0,21,7,8,57,42,19,57,36,7
"Prevotella",42,68,108,246,339,1,48,677,88,11,13232,52,151,97,72,46,6,14,12,46325,4,13166,73343,36,16622,72,2,1,12001,24897,123,61,3816,4518,68,3445,14339,20,30,3934,11683,34,34490,1,194,489,3,144,27684,59,62602,22,102,7,202,82,12
"Pseudomonas",2,5,15,19,14,0,4,126,5,0,10,3,2,17,9,16,9,0,1,2,3,0,14,3,5,14,0,0,1,0,28,16,0,12,6,7,22,7,1,2,5,4,8,0,2,18,0,0,3,2,1,11,5,5,34,16,0
"Roseburia",2162,2442,163,4174,945,1618,5237,3218,834,356,863,18971,972,1962,3121,1,2871,1082,1440,482,2076,336,1190,3224,494,627,61,23,3784,742,715,754,101,264,591,23,231,2123,1781,2530,420,3,53,485,582,32,1541,5279,1343,25,388,703,9240,204,1818,1575,1085
"Rothia",11,0,0,1,0,0,2,0,1,1,1,7,0,0,0,0,5,38,6,1,0,0,1,4,3,5,0,0,1,1,0,0,2,0,0,2,10,19,0,2,2,0,0,43,0,29,4,59,0,9,5,11,7,0,2,12,2
"Ruminococcus",1704,1044,1063,6111,4344,916,1713,13635,858,8966,2716,1104,6025,3456,1377,2035,7331,6085,5699,10,209,124,6907,667,1514,44,3,68,156,217,1785,3667,61,4296,2346,6447,3991,280,3817,7580,256,4,29,102,48,152,10,321,7366,14,16,156,33,7501,30315,5,1936
"Shigella",7,18,24,5,34,0,7,10,4,0,3,0,11,81,0,523,23,0,103,7843,3,0,2,6,38,136,24,567,9,3,156,8,35,98,22,305,9,903,8,0,161,1690,1,0,555,2,295,3366,11,3612,9,51,64,2351,0,39,32
"Sphingomonas",32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,200,144,6,317,80,58,351,14,132,201,107,535,106,68,1184,177,35,496,178,436,207,90,79,188,7,638,781,75,7,325,147,72,422,475,194,1362,569,183
"Staphylococcus",2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,5,1,0,0,0,0,1,2,0,0,0,7,7,1,6,0,2,28,0,0,0,0,2,0,12,6,6,2,1,0,2,0,0,13,0,0,2,0
"Streptococcus",393,12,31,57,53,35,58,93,69,17,34,957,59,16,10,11,71,50,56,918,34,61,11,43,76,551,11,3,87,24,48,11,177,1650,36,7,561,591,69,93,180,112,11,8788,224,243,317,16868,19,883,372,583,83,3,82,773,6
"Sutterella",451,0,37,35,0,0,0,83,0,9,30,0,247,0,473,420,0,0,0,2,0,3,0,0,27,2,0,0,150,168,41,0,3,12,28,0,0,2942,1,72,223,0,2,0,150,156,1378,4121,0,2,877,5,1402,0,0,1517,0
"Terrisporobacter",51,0,2641,57,982,552,9,219,3,94,43,0,101,2916,0,4,937,32,137,7,720,1,88,215,1407,3,2,12,1876,0,4,335,10,0,16,0,2,0,1,3,6,1,9,0,460,30,1,10,1871,2,9,0,372,0,182,0,42
"Turicibacter",26,215,1224,2017,8538,597,137,331,15,222,331,3,2651,1216,56,2576,3460,463,31,6,2179,1,118,1865,26,10,0,0,1901,4445,2,1326,2215,23,8,0,429,0,273,6,0,1,489,0,6703,2,0,3,65,2,4,201,119,2,271,0,859
"Tyzzerella",14,21,7,102,34,1,6,423,139,194,95,37,21,5,4,0,10,13,7,178,34,1,74,156,30,411,0,190,112,10,43,9,21,10,41,0,11,93,14,103,290,0,10,60,1,0,15,0,9,0,58,59,48,133,19,513,16
"unclassified",24530,3615,3603,16414,10760,4971,6221,16701,6565,12641,24922,8256,9841,5773,5324,2009,9328,21292,13990,4387,7142,257,4014,8953,8253,30733,681,581,9663,8244,8019,9117,5096,4857,5038,26482,4559,2307,7079,26630,6145,10,7271,13093,11250,296,3246,4152,8693,209,2016,1206,10567,14637,12449,18000,9897
"Veillonella",81,16,7,5,16,10,36,62,374,8,144,18,75,23,66,3,18536,1141,1000,3741,228,1940,46,180,139,10395,5192,17,1822,996,446,87,12,2,5,354,2029,2833,74,32,1719,22703,135,4701,723,799,48898,28409,848,72270,2378,10948,15266,6,105,9022,130
"NA",6839,1115,762,1409,656,1792,2122,1361,1314,6071,549,1381,731,11001,642,232,724,1417,1323,225,471,81,1924,596,2698,971,142,216,510,2585,623,2478,505,2470,7677,1169,6881,638,371,397,2153,129,243,5841,1359,433,438,236,507,68,1006,482,1242,658,2312,509,855
