"","Pvalues","FDR","Statistics"
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",0.15793,0.73699,-1.4412
"Prevotella_3",0.16022,0.73699,-1.4331
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.16252,0.73699,1.4251
"OTU1592|NN=Christensenella_minuta_AB490809|D=88_2",0.16379,0.73699,1.4206
"Ruminococcaceae_8",0.16397,0.73699,1.42
"Blautia_1",0.16619,0.73699,1.4124
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.16814,0.73699,1.4058
"Ruminococcus_callidus",0.16817,0.73699,1.4056
"OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89_9",0.17112,0.73699,1.3957
"OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_3",0.17216,0.73699,1.3922
"Oscillibacter",0.17334,0.73699,1.3883
"unclassified_4",0.17936,0.73699,1.3687
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",0.18913,0.73699,1.3378
"OTU482|NN=Eubacterium_sulci_AJ006963|D=89_4",0.19121,0.73699,1.3314
"Bacteroides_plebeius",0.19194,0.73699,1.3292
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",0.19208,0.73699,-1.3287
"Butyricimonas_virosa",0.19208,0.73699,1.3287
"Streptococcus_1",0.19219,0.73699,-1.3284
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_3",0.19448,0.73699,1.3214
"Coprococcus_1",0.19649,0.73699,1.3153
"Eubacterium_2",0.19828,0.73699,-1.31
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",0.19841,0.73699,1.3096
"unclassified_5",0.19883,0.73699,1.3083
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.20137,0.73699,1.3008
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",0.20179,0.73699,-1.2996
"Parabacteroides",0.20373,0.73699,-1.2939
"Parabacteroides_merdae",0.2056,0.73699,1.2884
"Erysipelatoclostridium",0.20635,0.73699,1.2862
"Odoribacter_splanchnicus",0.20674,0.73699,1.2851
"Clostridium_disporicum",0.21398,0.73699,1.2644
"OTU24|NN=Massilia_aurea_AM231588|D=96_2",0.2143,0.73699,1.2635
"Paraprevotella_clara_1",0.21625,0.73699,1.2581
"Clostridiales_8",0.21749,0.73699,1.2546
"Slackia_isoflavoniconvertens",0.21923,0.73699,1.2498
"OTU174|NN=Anoxystipes_fissicatena_NR_104800_1|D=92_4",0.22134,0.73699,1.244
"Bacteroides_9",0.22579,0.73699,-1.2318
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.23011,0.73699,1.2202
"Actinobacteria",0.2339,0.73699,1.2102
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",0.23674,0.73699,1.2027
"Parabacteroides_goldsteinii",0.23917,0.73699,1.1963
"Streptococcus",0.23918,0.73699,-1.1963
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",0.24086,0.73699,1.192
"Prevotella_1",0.24099,0.73699,-1.1916
"Oscillospira",0.24125,0.73699,1.191
"OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86_7",0.24374,0.73699,1.1846
"Sphingomonas",0.24605,0.73699,1.1787
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.24663,0.73699,1.1772
"Gemmiger",0.2483,0.73699,-1.173
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.24934,0.73699,1.1704
"Megasphaera",0.24962,0.73699,-1.1697
"unclassified_3",0.25391,0.73699,1.1589
"OTU644|NN=Dorea_massiliensis_JX101687|D=88_1",0.25473,0.73699,1.1569
"Clostridiales_23",0.25973,0.73699,1.1446
"Kluyvera_ascorbata",0.26017,0.73699,-1.1435
"Bacteria_4",0.26137,0.73699,-1.1406
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.26321,0.73699,1.1361
"Alistipes_marseilloanorexicus",0.26778,0.74197,1.1251
"Streptococcus_anginosus",0.27491,0.75083,-1.1083
"Alistipes_obesi",0.28149,0.75083,-1.0929
"Clostridiales_6",0.28688,0.75083,1.0806
"Lactobacillus_antri",0.28811,0.75083,1.0778
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",0.29,0.75083,-1.0735
"OTU699|NN=Clostridium_methylpentosum_Y18181|D=88_8",0.29827,0.75083,1.055
"Prevotella_2",0.2999,0.75083,-1.0514
"Tyzzerella",0.30113,0.75083,-1.0487
"Clostridiales_9",0.3041,0.75083,1.0422
"Sutterella_wadsworthensis",0.30583,0.75083,-1.0384
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.30734,0.75083,1.0351
"Faecalibacterium_2",0.30882,0.75083,-1.0319
"Allisonella_histaminiformans",0.30923,0.75083,1.031
"Brevundimonas_vesicularis",0.31049,0.75083,1.0283
"OTU371|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_5",0.31678,0.75913,1.0148
"Phascolarctobacterium_succinatutens",0.32209,0.76497,-1.0036
"Fusobacterium",0.32702,0.76926,-0.9933
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6",0.33024,0.76926,-0.98661
"Bacteroides_8",0.33764,0.76926,-0.97144
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3",0.33901,0.76926,0.96864
"Bacteroides_4",0.34039,0.76926,0.96584
"Anaerotruncus_colihominis",0.35093,0.76926,0.94472
"OTU483|NN=Lactobacillus_rogosae_GU269544|D=95_9",0.35542,0.76926,-0.93584
"Bacteroides_6",0.35808,0.76926,-0.93062
"Dialister_pneumosintes",0.35921,0.76926,-0.92842
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",0.36091,0.76926,-0.9251
"Bacteria",0.3617,0.76926,-0.92355
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6_1",0.36229,0.76926,-0.92242
"Tyzzerella_lactatifermentans",0.36449,0.76926,0.91815
"Streptococcus_infantis",0.36514,0.76926,-0.91689
"OTU622|NN=Clostridium_methylpentosum_Y18181|D=87_5",0.36777,0.76926,-0.9118
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",0.37284,0.76926,0.9021
"Collinsella_aerofaciens",0.37519,0.76926,-0.89763
"OTU855|NN=Roseburia_faecis_AY804149|D=95_5",0.37974,0.76926,0.88901
"OTU1291|NN=Lactobacillus_gasseri_JQ805634|D=97",0.38116,0.76926,-0.88633
"Bacteroides",0.38174,0.76926,-0.88526
"Butyricimonas_1",0.39306,0.77649,0.86418
"OTU100|NN=Eubacterium_saphenum_GU427005|D=91",0.3948,0.77649,-0.86097
"OTU1616|NN=Fusicatenibacter_saccharivorans_AB698912|D=90_2",0.39731,0.77649,-0.85636
"OTU395|NN=Clostridium_bolteae_AJ508452|D=93_5",0.40052,0.77649,0.85049
"Bifidobacterium_bifidum",0.4012,0.77649,-0.84925
"Megasphaera_1",0.40284,0.77649,-0.84627
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.4335,0.82376,0.79184
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.4389,0.82376,-0.7825
"Lachnoclostridium_citroniae",0.44087,0.82376,-0.77911
"Bacteria_2",0.44206,0.82376,-0.77707
"Bifidobacterium",0.44285,0.82376,-0.77571
"OTU807|NN=Soleaferrea_massiliensis_JX101688|D=86_9",0.45126,0.8298,-0.76138
"Faecalibacterium_1",0.45524,0.8298,-0.75465
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.4581,0.8298,0.74983
"Lactobacillus_rogosae",0.46131,0.8298,0.74444
"Ruminococcus_lactaris",0.4617,0.8298,0.7438
"OTU136|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=91_2",0.46902,0.83731,0.7316
"Lachnoclostridium",0.4757,0.84358,-0.72057
"Lachnospiraceae",0.48682,0.85757,-0.70241
"Senegalemassilia_anaerobia",0.49526,0.8667,-0.68878
"OTU468|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_9",0.50453,0.87716,0.67395
"Eubacterium",0.50952,0.87977,0.66604
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",0.51424,0.87977,-0.65858
"Phenylobacterium_haematophilum",0.52295,0.87977,0.64493
"Faecalibacterium",0.52445,0.87977,-0.64259
"Lachnoclostridium_aldenense",0.52818,0.87977,-0.63679
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.54132,0.87977,-0.61652
"unclassified",0.54357,0.87977,-0.61309
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4",0.55445,0.87977,0.59654
"OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_2",0.55554,0.87977,0.59489
"Fusicatenibacter_saccharivorans",0.55569,0.87977,-0.59466
"Bacteria_1",0.55841,0.87977,-0.59056
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6_1",0.55936,0.87977,0.58912
"OTU976|NN=Eubacterium_sulci_AJ006963|D=91_7",0.56031,0.87977,0.58769
"Butyricimonas",0.56607,0.87977,-0.57904
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.56693,0.87977,-0.57775
"OTU1424|NN=Dorea_formicigenerans_EUBRRDP|D=96_7",0.56858,0.87977,-0.57528
"Christensenellaceae",0.57236,0.87977,0.56964
"Lactobacillus_salivarius",0.57284,0.87977,0.56894
"OTU19|NN=Phenylobacterium_haematophilum_AJ244650|D=97",0.57805,0.87977,-0.56119
"OTU1551|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=91_1",0.5796,0.87977,-0.5589
"OTU841|NN=Eubacterium_saphenum_GU427005|D=91_9",0.5804,0.87977,-0.55771
"unclassified_13",0.58378,0.87977,-0.55271
"Lachnoclostridium_asparagiforme",0.58406,0.87977,-0.5523
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92",0.58695,0.87977,0.54805
"Intestinimonas_butyriciproducens",0.59712,0.87977,-0.53315
"Alistipes_indistinctus",0.59721,0.87977,-0.53302
"Bacteroides_2",0.60461,0.87977,0.52224
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.60732,0.87977,0.51832
"Barnesiella_intestinihominis",0.61017,0.87977,0.5142
"Intestinibacter_bartlettii",0.61536,0.87977,0.50671
"Bacteria_3",0.61623,0.87977,-0.50546
"OTU176|NN=Butyrivibrio_crossotus_FR733670|D=87_8",0.61839,0.87977,0.50237
"OTU1491|NN=Eubacterium_sulci_AJ006963|D=90_3_1",0.62068,0.87977,-0.49907
"Dialister",0.62791,0.87977,-0.48873
"OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87_1",0.6298,0.87977,-0.48604
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.63591,0.87977,-0.47736
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.63754,0.87977,-0.47506
"Atopobium",0.64586,0.87977,-0.46331
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",0.6466,0.87977,0.46226
"unclassified_1",0.64762,0.87977,-0.46083
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92_1",0.64874,0.87977,-0.45925
"Eubacterium_siraeum",0.65008,0.87977,-0.45737
"Akkermansia_muciniphila",0.65064,0.87977,-0.45658
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",0.6529,0.87977,0.45341
"Coprococcus_eutactus",0.65689,0.87977,-0.44783
"OTU214|NN=Eubacterium_biforme_JF298897|D=96_8",0.65818,0.87977,-0.44603
"Bacteria_7",0.6671,0.88384,-0.4336
"OTU877|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_8",0.67839,0.88384,-0.41796
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.67843,0.88384,-0.4179
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.68881,0.88384,-0.40363
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",0.69049,0.88384,-0.40132
"OTU1051|NN=Christensenella_minuta_AB490809|D=87_2",0.69177,0.88384,0.39957
"OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90_2",0.69315,0.88384,-0.39768
"Pasteurellaceae",0.69735,0.88384,-0.39195
"Bacteroides_massiliensis",0.69817,0.88384,0.39083
"Bacteria_6",0.69915,0.88384,-0.38948
"Clostridium_1",0.69932,0.88384,0.38926
"OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90_6",0.70109,0.88384,-0.38684
"Eubacterium_eligens",0.71342,0.89047,0.3701
"OTU1103|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_3",0.71695,0.89047,0.36532
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.72132,0.89047,-0.35943
"Coprococcus",0.7225,0.89047,0.35783
"Phascolarctobacterium_faecium",0.72408,0.89047,-0.35571
"Lachnoclostridium_1",0.72819,0.89047,-0.35018
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.72978,0.89047,-0.34804
"Lachnospiraceae_9",0.73629,0.8943,-0.33932
"Gemella_haemolysans",0.74666,0.90278,-0.32547
"Actinomyces_odontolyticus",0.75532,0.90526,-0.31395
"OTU363|NN=Anaerofilum_pentosovorans_X97852|D=92_9",0.75638,0.90526,0.31255
"OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95_2",0.75906,0.90526,-0.309
"OTU1288|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_8",0.76409,0.90526,0.30234
"Ruminococcaceae_6",0.76573,0.90526,-0.30017
"Eubacterium_brachy",0.77481,0.91194,0.28819
"OTU107|NN=Blautia_glucerasea_AB588023|D=95_6",0.78156,0.91584,-0.27931
"Sutterella",0.78966,0.92127,-0.2687
"OTU500|NN=Oscillibacter_valericigenes_AB238598|D=90_6",0.79424,0.92205,0.2627
"Bacteroides_1",0.79727,0.92205,-0.25875
"Haemophilus_parainfluenzae",0.80668,0.92414,-0.24647
"Bacteroides_3",0.81126,0.92414,-0.24052
"OTU131|NN=Oscillibacter_valericigenes_AB238598|D=93_5",0.81501,0.92414,0.23564
"Granulicatella_adiacens",0.81623,0.92414,0.23406
"Oscillospira_1",0.8179,0.92414,0.23189
"Bacteroides_caccae",0.82058,0.92414,-0.22842
"Clostridiales",0.82788,0.92414,0.21897
"Bradyrhizobium_elkanii",0.83448,0.92414,0.21044
"Pseudomonas",0.83493,0.92414,0.20986
"Ruminococcus",0.83582,0.92414,-0.20871
"OTU1527|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=93_9",0.83729,0.92414,0.20682
"OTU234|NN=Prevotella_conceptionensis_HM587326|D=87_4",0.85569,0.94056,-0.18313
"Ruminococcaceae_16",0.86622,0.94657,-0.16963
"OTU82|NN=Clostridium_lactatifermentans_AY033434|D=93_1",0.86878,0.94657,-0.16636
"Bacteroides_cellulosilyticus",0.87184,0.94657,0.16244
"Blautia",0.87763,0.94898,-0.15505
"Bacteria_8",0.89104,0.95651,0.13793
"Campylobacter",0.89179,0.95651,-0.13698
"Pelomonas_saccharophila",0.90014,0.95933,-0.12635
"Parasutterella_excrementihominis",0.90163,0.95933,-0.12446
"OTU673|NN=Ruminococcus_callidus_X85100|D=93_8",0.90751,0.96174,-0.11698
"OTU1688|NN=Gemmiger_formicilis_GU562446|D=92_5",0.91159,0.96223,-0.1118
"OTU845|NN=Alistipes_onderdonkii_AB554231|D=96_7",0.92556,0.97312,-0.094071
"Bilophila_wadsworthia",0.93703,0.97633,0.079539
"OTU253|NN=Geobacillus_stearothermophilus_EF025325|D=75_9",0.9385,0.97633,-0.077678
"Eubacterium_1",0.93963,0.97633,0.076255
"OTU1376|NN=Acinetobacter_septicus_EF611418|D=96",0.95454,0.97837,0.057395
"Christensenella_minuta",0.95802,0.97837,-0.052996
"OTU840|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.95845,0.97837,-0.052454
"Clostridiales_1",0.95966,0.97837,0.050918
"unclassified_8",0.96142,0.97837,0.048707
"OTU197|NN=Ruminococcus_albus_AY445596|D=93_7",0.96366,0.97837,-0.045873
"Staphylococcus",0.98037,0.99155,-0.02477
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.99225,0.99836,-0.0097746
"OTU227|NN=Prevotella_shahii_AB108825|D=89_3",0.99697,0.99836,-0.0038224
"Clostridium_perfringens",0.99836,0.99836,0.0020641
