"","Pvalues","FDR","Statistics"
"Shigella_sonnei",0.10653,0.38989,127
"Paraprevotella_clara",0.11075,0.38989,238
"Ruminococcus_callidus",0.11099,0.38989,237
"Actinomyces_odontolyticus",0.11268,0.38989,240
"Brevundimonas_vesicularis",0.11751,0.39861,235.5
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.12474,0.40481,236
"Phascolarctobacterium_faecium",0.13151,0.40481,237
"Lactobacillus_salivarius",0.13292,0.40481,234
"Bacteroides_cellulosilyticus",0.13433,0.40481,236.5
"OTU845|NN=Alistipes_onderdonkii_AB554231|D=96_7",0.13511,0.40481,237
"OTU363|NN=Anaerofilum_pentosovorans_X97852|D=92_9",0.13879,0.40481,228
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",0.13883,0.40481,139
"OTU500|NN=Oscillibacter_valericigenes_AB238598|D=90_6",0.14071,0.40481,233.5
"OTU644|NN=Dorea_massiliensis_JX101687|D=88_1",0.14137,0.40481,236
"Parasutterella_excrementihominis",0.14302,0.40481,234
"OTU1592|NN=Christensenella_minuta_AB490809|D=88_2",0.14725,0.40481,226
"Clostridium_disporicum",0.14741,0.40481,234.5
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.15714,0.41911,234
"Bacteroides_massiliensis",0.15747,0.41911,227
"OTU107|NN=Blautia_glucerasea_AB588023|D=95_6",0.16537,0.43347,233
"Veillonella_rogosae",0.16946,0.43755,136.5
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.18184,0.46261,228
"Intestinimonas_butyriciproducens",0.18666,0.468,228
"Lactobacillus_rogosae",0.19209,0.47473,227
"OTU1491|NN=Eubacterium_sulci_AJ006963|D=90_3",0.19699,0.4797,227
"Erysipelatoclostridium_innocuum",0.20242,0.4797,221
"Eubacterium_eligens",0.2035,0.4797,228
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.20519,0.4797,227
"Bifidobacterium_bifidum",0.21948,0.50626,142
"OTU1051|NN=Christensenella_minuta_AB490809|D=87_2",0.2307,0.52515,225.5
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.25081,0.5635,143
"OTU371|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_5",0.25957,0.56411,222
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.26076,0.56411,219
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",0.26086,0.56411,145.5
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.26627,0.56869,223
"OTU622|NN=Clostridium_methylpentosum_Y18181|D=87_5",0.2713,0.57238,216
"Alistipes_obesi",0.28382,0.59157,222
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.29268,0.59917,219.5
"OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_2",0.29439,0.59917,221
"Dialister_pneumosintes",0.30917,0.61713,150
"OTU227|NN=Prevotella_shahii_AB108825|D=89_3",0.31035,0.61713,215
"OTU807|NN=Soleaferrea_massiliensis_JX101688|D=86_9",0.32762,0.63177,216
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.32852,0.63177,217
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",0.32867,0.63177,219
"Kluyvera_ascorbata",0.33364,0.63344,152
"Phenylobacterium_haematophilum",0.3388,0.63344,218
"Christensenella_minuta",0.34052,0.63344,211
"Bacteroides_caccae",0.35769,0.65128,217
"OTU699|NN=Clostridium_methylpentosum_Y18181|D=88_8",0.35944,0.65128,216
"Lachnoclostridium_citroniae",0.3614,0.65128,152
"OTU1376|NN=Acinetobacter_septicus_EF611418|D=96",0.3705,0.65255,214
"OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_3",0.37207,0.65255,215.5
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.37342,0.65255,213.5
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",0.38382,0.66086,215
"OTU483|NN=Lactobacillus_rogosae_GU269544|D=95_9",0.38582,0.66086,214
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.39556,0.66538,213
"Bacteroides_plebeius",0.39615,0.66538,211
"OTU841|NN=Eubacterium_saphenum_GU427005|D=91_9",0.40076,0.66665,213.5
"Slackia_isoflavoniconvertens",0.41182,0.67116,208
"OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95_2",0.41408,0.67116,208.5
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",0.41511,0.67116,209.5
"OTU1291|NN=Lactobacillus_gasseri_JQ805634|D=97",0.42113,0.67459,211
"Lachnoclostridium_asparagiforme",0.42562,0.67553,211
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",0.4338,0.67706,207.5
"OTU136|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=91_2",0.43441,0.67706,208
"OTU197|NN=Ruminococcus_albus_AY445596|D=93_7",0.43853,0.67737,211
"Alistipes_indistinctus",0.46329,0.70594,207
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",0.46519,0.70594,209
"OTU234|NN=Prevotella_conceptionensis_HM587326|D=87_4",0.47329,0.71199,161.5
"Collinsella_aerofaciens",0.48298,0.71775,209
"OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89_9",0.48541,0.71775,205
"Ruminococcus_lactaris",0.49417,0.72089,208
"OTU1551|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=91_1",0.49587,0.72089,164
"Haemophilus_parainfluenzae",0.5018,0.72344,208
"OTU214|NN=Eubacterium_biforme_JF298897|D=96_8",0.51157,0.73141,205
"Bilophila_wadsworthia",0.52158,0.73813,206
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92",0.52502,0.73813,207
"Senegalemassilia_anaerobia",0.52907,0.73813,202
"Phascolarctobacterium_succinatutens",0.53884,0.74576,204
"OTU840|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.55878,0.76681,204.5
"OTU311|NN=Prevotella_copri_AB064923|D=90_1",0.56292,0.76681,166.5
"OTU253|NN=Geobacillus_stearothermophilus_EF025325|D=75_9",0.57399,0.77579,203.5
"Tyzzerella_lactatifermentans",0.5884,0.78909,165.5
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.6019,0.8009,202
"OTU877|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_8",0.61985,0.8009,201
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",0.62127,0.8009,202
"Allisonella_histaminiformans",0.62959,0.8009,199
"Streptococcus_anginosus",0.6312,0.8009,167
"OTU131|NN=Oscillibacter_valericigenes_AB238598|D=93_5",0.63426,0.8009,200
"OTU24|NN=Massilia_aurea_AM231588|D=96_2",0.63722,0.8009,201
"OTU468|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_9",0.64009,0.8009,197.5
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.64763,0.8009,200.5
"Lachnoclostridium_aldenense",0.64768,0.8009,199
"Anaerotruncus_colihominis",0.64813,0.8009,198.5
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.65981,0.80955,199
"Oscillospira_plautii",0.66711,0.81046,199.5
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",0.66992,0.81046,169
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6",0.67881,0.81191,199
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",0.68797,0.81191,196
"OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90_2",0.68898,0.81191,171
"OTU100|NN=Eubacterium_saphenum_GU427005|D=91",0.68989,0.81191,197.5
"OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87_1",0.71327,0.83376,197
"Gemella_haemolysans",0.73174,0.84961,196
"OTU976|NN=Eubacterium_sulci_AJ006963|D=91_7",0.80686,0.90866,176
"Pelomonas_saccharophila",0.80821,0.90866,193
"Streptococcus_infantis",0.80821,0.90866,175
"Lactobacillus_antri",0.81794,0.90866,192
"OTU82|NN=Clostridium_lactatifermentans_AY033434|D=93_1",0.81951,0.90866,191.5
"Bradyrhizobium_elkanii",0.8199,0.90866,192
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",0.8216,0.90866,176
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",0.82728,0.90866,192
"Akkermansia_muciniphila",0.8304,0.90866,192
"OTU1288|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_8",0.83513,0.90866,191
"OTU1688|NN=Gemmiger_formicilis_GU562446|D=92_5",0.85235,0.92161,191
"Eubacterium_brachy",0.87512,0.94035,189
"OTU1103|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_3",0.89134,0.95186,189
"OTU1616|NN=Fusicatenibacter_saccharivorans_AB698912|D=90_2",0.89776,0.95284,189
"OTU673|NN=Ruminococcus_callidus_X85100|D=93_8",0.91339,0.96351,188
"Granulicatella_adiacens",0.92038,0.96501,188
"OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90_6",0.93043,0.96864,181
"OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86_7",0.93505,0.96864,187
"OTU19|NN=Phenylobacterium_haematophilum_AJ244650|D=97",0.94103,0.96904,187
"OTU1527|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=93_9",0.96545,0.98288,186
"OTU855|NN=Roseburia_faecis_AY804149|D=95_5",0.96583,0.98288,186
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.98673,0.99273,185
"Clostridium_perfringens",0.987,0.99273,183
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",1,1,184.5
